Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
7.47549e+03	3.31654e+01	1.00000e+01	1.00000e+00	2.96353e-01	3.64748e-03	3.00000e-01	6.00000e-01	2.45974e-07	2.91202e-07	4.30149e-09	3.82449e-07	4.12701e-07	2.00002e-07	2.02952e-09	2.51892e-08	3.58368e-07	9.89223e-08	9.39708e-06	1.43366e-17	1.03000e-06	1.00000e-06	2.49821e+03	2.49821e+03	nan	nan	nan	nan	nan	nan	nan	nan
7.47500e+03	3.31633e+01	9.99995e+00	9.99957e-01	2.96278e-01	3.65842e-03	2.99936e-01	5.99872e-01	3.63583e-05	4.30421e-05	6.37522e-07	5.65177e-05	6.10047e-05	2.95630e-05	3.00804e-07	3.72883e-06	5.29600e-05	1.46486e-05	1.38765e-03	2.12344e-15	1.33000e-04	1.47810e-04	2.17060e+03	2.17059e+03	6.70934e-03	3.09101e-06	8.65584e+03	2.50777e-05	6.70936e-03	3.09103e-06	8.65589e+03	2.50776e-05
7.47400e+03	3.31588e+01	9.99955e+00	9.99650e-01	2.95741e-01	3.73363e-03	2.99475e-01	5.98950e-01	2.96741e-04	3.51302e-04	5.30499e-06	4.60644e-04	4.98034e-04	2.41356e-04	2.50378e-06	3.07615e-05	4.31716e-04	1.21893e-04	1.13185e-02	1.76969e-14	1.08200e-03	1.20642e-03	2.17059e+03	2.17059e+03	1.00000e-08	4.60704e-12	1.01290e+00	2.14361e-01	6.00000e-08	2.76424e-11	1.07740e+00	2.01529e-01
7.47300e+03	3.31544e+01	9.99925e+00	9.99415e-01	2.95330e-01	3.79219e-03	2.99122e-01	5.98244e-01	4.95647e-04	5.86781e-04	8.99219e-06	7.68582e-04	8.32043e-04	4.03223e-04	4.24491e-06	5.18005e-05	7.20405e-04	2.06617e-04	1.88965e-02	3.00330e-14	1.80700e-03	2.01512e-03	2.17059e+03	2.17058e+03	5.00000e-08	2.30353e-11	1.06450e+00	2.04025e-01	1.00000e-07	4.60709e-11	1.12900e+00	1.92369e-01
7.47200e+03	3.31500e+01	9.99895e+00	9.99180e-01	2.94918e-01	3.85167e-03	2.98769e-01	5.97538e-01	6.94726e-04	8.22464e-04	1.27906e-05	1.07612e-03	1.16649e-03	5.65302e-04	6.03930e-06	7.31985e-05	1.00879e-03	2.93889e-04	2.64731e-02	4.27693e-14	2.53300e-03	2.82456e-03	2.17059e+03	2.17057e+03	5.00000e-08	2.30353e-11	1.06450e+00	2.04080e-01	1.00000e-07	4.60711e-11	1.12900e+00	1.92421e-01
7.47100e+03	3.31455e+01	9.99865e+00	9.98945e-01	2.94504e-01	3.91206e-03	2.98416e-01	5.96832e-01	8.93971e-04	1.05834e-03	1.67026e-05	1.38324e-03	1.50136e-03	7.27585e-04	7.88812e-06	9.49586e-05	1.29685e-03	3.83782e-04	3.40497e-02	5.59178e-14	3.25900e-03	3.63471e-03	2.17058e+03	2.17056e+03	6.00000e-08	2.76425e-11	1.07740e+00	2.01690e-01	1.00000e-07	4.60713e-11	1.12900e+00	1.92472e-01
7.47000e+03	3.31411e+01	9.99834e+00	9.98710e-01	2.94090e-01	3.97337e-03	2.98063e-01	5.96126e-01	1.09336e-03	1.29440e-03	2.07303e-05	1.68992e-03	1.83662e-03	8.90058e-04	9.79239e-06	1.17083e-04	1.58456e-03	4.76320e-04	4.16236e-02	6.94836e-14	3.98600e-03	4.44551e-03	2.17057e+03	2.17055e+03	5.00000e-08	2.30354e-11	1.06450e+00	2.04189e-01	9.00000e-08	4.14643e-11	1.11610e+00	1.94749e-01
7.46900e+03	3.31366e+01	9.99804e+00	9.98474e-01	2.93674e-01	4.03560e-03	2.97709e-01	5.95418e-01	1.29289e-03	1.53062e-03	2.48759e-05	1.99612e-03	2.17227e-03	1.05272e-03	1.17532e-05	1.39574e-04	1.87190e-03	5.71567e-04	4.91953e-02	8.34777e-14	4.71300e-03	5.25691e-03	2.17057e+03	2.17054e+03	5.00000e-08	2.30355e-11	1.06450e+00	2.04244e-01	1.00000e-07	4.60717e-11	1.12900e+00	1.92575e-01
7.46800e+03	3.31322e+01	9.99774e+00	9.98238e-01	2.93256e-01	4.09877e-03	2.97355e-01	5.94710e-01	1.49255e-03	1.76698e-03	2.91418e-05	2.30183e-03	2.50827e-03	1.21555e-03	1.37718e-05	1.62434e-04	2.15885e-03	6.69599e-04	5.67662e-02	9.79125e-14	5.44100e-03	6.06886e-03	2.17056e+03	2.17053e+03	5.00000e-08	2.30355e-11	1.06450e+00	2.04298e-01	1.00000e-07	4.60719e-11	1.12900e+00	1.92627e-01
7.46700e+03	3.31278e+01	9.99743e+00	9.98003e-01	2.92838e-01	4.16288e-03	2.97001e-01	5.94002e-01	1.69231e-03	2.00347e-03	3.35300e-05	2.60702e-03	2.84461e-03	1.37855e-03	1.58491e-05	1.85665e-04	2.44537e-03	7.70421e-04	6.43322e-02	1.12790e-13	6.16900e-03	6.88131e-03	2.17056e+03	2.17052e+03	5.00000e-08	2.30356e-11	1.06450e+00	2.04353e-01	1.00000e-07	4.60721e-11	1.12900e+00	1.92678e-01
