Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
7.95555e+03	3.52953e+01	1.00000e+01	2.00000e+00	2.96759e-01	3.24126e-03	3.00000e-01	6.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.19000e-07	1.00000e-06	2.50725e+03	2.50725e+03	nan	nan	nan	nan	nan	nan	nan	nan
7.95500e+03	3.52928e+01	9.99993e+00	1.99989e+00	2.96665e-01	3.25367e-03	2.99919e-01	5.99838e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.94000e-04	2.43536e-04	2.16798e+03	2.16798e+03	6.15512e-03	2.83910e-06	7.95047e+03	2.41071e-05	6.15512e-03	2.83910e-06	7.95047e+03	2.41071e-05
7.95400e+03	3.52884e+01	9.99941e+00	1.99915e+00	2.96010e-01	3.33744e-03	2.99348e-01	5.98696e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.54600e-03	1.94584e-03	2.16798e+03	2.16798e+03	-1.00000e-08	-4.61259e-12	9.87085e-01	1.94220e-01	-1.00000e-08	-4.61259e-12	9.87085e-01	1.94220e-01
7.95300e+03	3.52839e+01	9.99903e+00	1.99861e+00	2.95526e-01	3.40055e-03	2.98927e-01	5.97854e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.54200e-03	3.19946e-03	2.16798e+03	2.16798e+03	4.00000e-08	1.84504e-11	1.05166e+00	1.82340e-01	4.00000e-08	1.84504e-11	1.05166e+00	1.82340e-01
7.95200e+03	3.52795e+01	9.99865e+00	1.99806e+00	2.95040e-01	3.46490e-03	2.98505e-01	5.97010e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.53900e-03	4.45564e-03	2.16797e+03	2.16797e+03	4.00000e-08	1.84504e-11	1.05166e+00	1.82386e-01	4.00000e-08	1.84504e-11	1.05166e+00	1.82386e-01
7.95100e+03	3.52751e+01	9.99827e+00	1.99751e+00	2.94552e-01	3.53048e-03	2.98082e-01	5.96164e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.53900e-03	5.71428e-03	2.16797e+03	2.16797e+03	4.00000e-08	1.84505e-11	1.05166e+00	1.82431e-01	4.00000e-08	1.84505e-11	1.05166e+00	1.82431e-01
7.95000e+03	3.52706e+01	9.99788e+00	1.99696e+00	2.94061e-01	3.59731e-03	2.97659e-01	5.95318e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.53900e-03	6.97528e-03	2.16797e+03	2.16797e+03	4.00000e-08	1.84505e-11	1.05166e+00	1.82477e-01	4.00000e-08	1.84505e-11	1.05166e+00	1.82477e-01
7.94900e+03	3.52662e+01	9.99750e+00	1.99641e+00	2.93569e-01	3.66541e-03	2.97234e-01	5.94468e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	6.54200e-03	8.23853e-03	2.16796e+03	2.16796e+03	4.00000e-08	1.84505e-11	1.05166e+00	1.82523e-01	4.00000e-08	1.84505e-11	1.05166e+00	1.82523e-01
7.94800e+03	3.52618e+01	9.99712e+00	1.99586e+00	2.93074e-01	3.73479e-03	2.96809e-01	5.93618e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.54600e-03	9.50390e-03	2.16796e+03	2.16796e+03	4.00000e-08	1.84506e-11	1.05166e+00	1.82569e-01	4.00000e-08	1.84506e-11	1.05166e+00	1.82569e-01
7.94700e+03	3.52573e+01	9.99673e+00	1.99531e+00	2.92577e-01	3.80545e-03	2.96382e-01	5.92764e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.55100e-03	1.07713e-02	2.16795e+03	2.16795e+03	4.00000e-08	1.84506e-11	1.05166e+00	1.82615e-01	4.00000e-08	1.84506e-11	1.05166e+00	1.82615e-01
7.94600e+03	3.52529e+01	9.99635e+00	1.99476e+00	2.92078e-01	3.87742e-03	2.95955e-01	5.91910e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.55800e-03	1.20406e-02	2.16795e+03	2.16795e+03	4.00000e-08	1.84506e-11	1.05166e+00	1.82661e-01	4.00000e-08	1.84506e-11	1.05166e+00	1.82661e-01
7.94500e+03	3.52484e+01	9.99596e+00	1.99421e+00	2.91577e-01	3.95068e-03	2.95528e-01	5.91056e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05650e-02	1.33116e-02	2.16795e+03	2.16795e+03	4.00000e-08	1.84507e-11	1.05166e+00	1.82707e-01	4.00000e-08	1.84507e-11	1.05166e+00	1.82707e-01
7.94400e+03	3.52440e+01	9.99557e+00	1.99366e+00	2.91074e-01	4.02526e-03	2.95099e-01	5.90198e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.15740e-02	1.45842e-02	2.16794e+03	2.16794e+03	4.00000e-08	1.84507e-11	1.05166e+00	1.82753e-01	4.00000e-08	1.84507e-11	1.05166e+00	1.82753e-01
7.94300e+03	3.52396e+01	9.99519e+00	1.99310e+00	2.90569e-01	4.10117e-03	2.94670e-01	5.89340e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.25840e-02	1.58583e-02	2.16794e+03	2.16794e+03	4.00000e-08	1.84507e-11	1.05166e+00	1.82799e-01	4.00000e-08	1.84507e-11	1.05166e+00	1.82799e-01
7.94200e+03	3.52351e+01	9.99480e+00	1.99255e+00	2.90062e-01	4.17839e-03	2.94240e-01	5.88480e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.35940e-02	1.71337e-02	2.16793e+03	2.16793e+03	4.00000e-08	1.84508e-11	1.05166e+00	1.82845e-01	4.00000e-08	1.84508e-11	1.05166e+00	1.82845e-01
7.94100e+03	3.52307e+01	9.99441e+00	1.99199e+00	2.89553e-01	4.25695e-03	2.93810e-01	5.87620e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.46050e-02	1.84103e-02	2.16793e+03	2.16793e+03	4.00000e-08	1.84508e-11	1.05166e+00	1.82891e-01	4.00000e-08	1.84508e-11	1.05166e+00	1.82891e-01
7.94000e+03	3.52263e+01	9.99402e+00	1.99144e+00	2.89042e-01	4.33684e-03	2.93379e-01	5.86758e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.56160e-02	1.96879e-02	2.16793e+03	2.16793e+03	3.00000e-08	1.38381e-11	1.03875e+00	1.85212e-01	3.00000e-08	1.38381e-11	1.03875e+00	1.85212e-01
7.93900e+03	3.52218e+01	9.99363e+00	1.99088e+00	2.88530e-01	4.41806e-03	2.92948e-01	5.85896e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.66280e-02	2.09664e-02	2.16792e+03	2.16792e+03	4.00000e-08	1.84509e-11	1.05166e+00	1.82983e-01	4.00000e-08	1.84509e-11	1.05166e+00	1.82983e-01
7.93800e+03	3.52174e+01	9.99324e+00	1.99033e+00	2.88016e-01	4.50062e-03	2.92516e-01	5.85032e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.76400e-02	2.22456e-02	2.16792e+03	2.16792e+03	4.00000e-08	1.84509e-11	1.05166e+00	1.83029e-01	4.00000e-08	1.84509e-11	1.05166e+00	1.83029e-01
