Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
7.95555e+03	3.52953e+01	1.00000e+01	2.00000e+00	2.96759e-01	3.24126e-03	3.00000e-01	6.00000e-01	4.13860e-07	8.72540e-07	7.02374e-09	5.80626e-07	7.35714e-07	6.34944e-07	3.51118e-09	4.51450e-08	5.76204e-07	1.61514e-07	1.43718e-05	2.34079e-17	9.19000e-07	1.00000e-06	2.50725e+03	2.50725e+03	nan	nan	nan	nan	nan	nan	nan	nan
7.95500e+03	3.52928e+01	9.99993e+00	1.99989e+00	2.96665e-01	3.25367e-03	2.99919e-01	5.99838e-01	1.00792e-04	2.12491e-04	1.71646e-06	1.41365e-04	1.79183e-04	1.54635e-04	8.58094e-07	1.10157e-05	1.40290e-04	3.94391e-05	3.49683e-03	5.71736e-15	1.94000e-04	2.43536e-04	2.16799e+03	2.16798e+03	6.15506e-03	2.83903e-06	7.95030e+03	2.41077e-05	6.15512e-03	2.83910e-06	7.95047e+03	2.41071e-05
7.95400e+03	3.52884e+01	9.99941e+00	1.99915e+00	2.96010e-01	3.33744e-03	2.99348e-01	5.98696e-01	8.05239e-04	1.69762e-03	1.40497e-05	1.12745e-03	1.43197e-03	1.23579e-03	7.02592e-06	8.92008e-05	1.11906e-03	3.22819e-04	2.79192e-02	4.68882e-14	1.54600e-03	1.94584e-03	2.16801e+03	2.16798e+03	-2.70000e-07	-1.24537e-10	6.51296e-01	2.94354e-01	-1.00000e-08	-4.61259e-12	9.87085e-01	1.94220e-01
7.95300e+03	3.52839e+01	9.99903e+00	1.99861e+00	2.95526e-01	3.40055e-03	2.98927e-01	5.97854e-01	1.32396e-03	2.79109e-03	2.35135e-05	1.85132e-03	2.35495e-03	2.03225e-03	1.17613e-05	1.48112e-04	1.83773e-03	5.40276e-04	4.58818e-02	7.85844e-14	2.54200e-03	3.19946e-03	2.16803e+03	2.16798e+03	-1.50000e-07	-6.91869e-11	8.06277e-01	2.37834e-01	4.00000e-08	1.84504e-11	1.05166e+00	1.82340e-01
7.95200e+03	3.52795e+01	9.99865e+00	1.99806e+00	2.95040e-01	3.46490e-03	2.98505e-01	5.97010e-01	1.84366e-03	3.88661e-03	3.33299e-05	2.57468e-03	3.28014e-03	2.83058e-03	1.66752e-05	2.08292e-04	2.55607e-03	7.65816e-04	6.38600e-02	1.11549e-13	3.53900e-03	4.45564e-03	2.16804e+03	2.16797e+03	-1.50000e-07	-6.91864e-11	8.06278e-01	2.37893e-01	4.00000e-08	1.84504e-11	1.05166e+00	1.82386e-01
7.95100e+03	3.52751e+01	9.99827e+00	1.99751e+00	2.94552e-01	3.53048e-03	2.98082e-01	5.96164e-01	2.36433e-03	4.98409e-03	4.35082e-05	3.29745e-03	4.20746e-03	3.63072e-03	2.17727e-05	2.69754e-04	3.27397e-03	9.99699e-04	8.18556e-02	1.45825e-13	4.53900e-03	5.71428e-03	2.16806e+03	2.16797e+03	-1.50000e-07	-6.91859e-11	8.06279e-01	2.37952e-01	4.00000e-08	1.84505e-11	1.05166e+00	1.82431e-01
7.95000e+03	3.52706e+01	9.99788e+00	1.99696e+00	2.94061e-01	3.59731e-03	2.97659e-01	5.95318e-01	2.88591e-03	6.08341e-03	5.40576e-05	4.01957e-03	5.13686e-03	4.43258e-03	2.70582e-05	3.32512e-04	3.99138e-03	1.24208e-03	9.98628e-02	1.81440e-13	5.53900e-03	6.97528e-03	2.16807e+03	2.16797e+03	-1.50000e-07	-6.91854e-11	8.06281e-01	2.38012e-01	4.00000e-08	1.84505e-11	1.05166e+00	1.82477e-01
7.94900e+03	3.52662e+01	9.99750e+00	1.99641e+00	2.93569e-01	3.66541e-03	2.97234e-01	5.94468e-01	3.40835e-03	7.18448e-03	6.49873e-05	4.74092e-03	6.06824e-03	5.23610e-03	3.25369e-05	3.96578e-04	4.70819e-03	1.49325e-03	1.17885e-01	2.18444e-13	6.54200e-03	8.23853e-03	2.16809e+03	2.16796e+03	-1.50000e-07	-6.91849e-11	8.06282e-01	2.38071e-01	4.00000e-08	1.84505e-11	1.05166e+00	1.82523e-01
7.94800e+03	3.52618e+01	9.99712e+00	1.99586e+00	2.93074e-01	3.73479e-03	2.96809e-01	5.93618e-01	3.93159e-03	8.28717e-03	7.63068e-05	5.46143e-03	7.00150e-03	6.04121e-03	3.82133e-05	4.61964e-04	5.42429e-03	1.75332e-03	1.35915e-01	2.56860e-13	7.54600e-03	9.50390e-03	2.16810e+03	2.16796e+03	-1.50000e-07	-6.91844e-11	8.06284e-01	2.38131e-01	4.00000e-08	1.84506e-11	1.05166e+00	1.82569e-01
7.94700e+03	3.52573e+01	9.99673e+00	1.99531e+00	2.92577e-01	3.80545e-03	2.96382e-01	5.92764e-01	4.45559e-03	9.39141e-03	8.80252e-05	6.18101e-03	7.93660e-03	6.84785e-03	4.40925e-05	5.28679e-04	6.13964e-03	2.02257e-03	1.53952e-01	2.96736e-13	8.55100e-03	1.07713e-02	2.16812e+03	2.16795e+03	-1.60000e-07	-7.37962e-11	7.93371e-01	2.42068e-01	4.00000e-08	1.84506e-11	1.05166e+00	1.82615e-01
7.94600e+03	3.52529e+01	9.99635e+00	1.99476e+00	2.92078e-01	3.87742e-03	2.95955e-01	5.91910e-01	4.98031e-03	1.04971e-02	1.00152e-04	6.89959e-03	8.87342e-03	7.65592e-03	5.01792e-05	5.96737e-04	6.85414e-03	2.30120e-03	1.71997e-01	3.38106e-13	9.55800e-03	1.20406e-02	2.16813e+03	2.16795e+03	-1.50000e-07	-6.91834e-11	8.06286e-01	2.38250e-01	4.00000e-08	1.84506e-11	1.05166e+00	1.82661e-01
7.94500e+03	3.52484e+01	9.99596e+00	1.99421e+00	2.91577e-01	3.95068e-03	2.95528e-01	5.91056e-01	5.50562e-03	1.16039e-02	1.12696e-04	7.61699e-03	9.81182e-03	8.46530e-03	5.64779e-05	6.66139e-04	7.56764e-03	2.58941e-03	1.90046e-01	3.81006e-13	1.05650e-02	1.33116e-02	2.16815e+03	2.16795e+03	-1.60000e-07	-7.37952e-11	7.93374e-01	2.42189e-01	4.00000e-08	1.84507e-11	1.05166e+00	1.82707e-01
7.94400e+03	3.52440e+01	9.99557e+00	1.99366e+00	2.91074e-01	4.02526e-03	2.95099e-01	5.90198e-01	6.03153e-03	1.27120e-02	1.25666e-04	8.33318e-03	1.07517e-02	9.27593e-03	6.29935e-05	7.36896e-04	8.28006e-03	2.88742e-03	2.08098e-01	4.25478e-13	1.15740e-02	1.45842e-02	2.16816e+03	2.16794e+03	-1.50000e-07	-6.91824e-11	8.06289e-01	2.38369e-01	4.00000e-08	1.84507e-11	1.05166e+00	1.82753e-01
7.94300e+03	3.52396e+01	9.99519e+00	1.99310e+00	2.90569e-01	4.10117e-03	2.94670e-01	5.89340e-01	6.55798e-03	1.38210e-02	1.39072e-04	9.04806e-03	1.16931e-02	1.00878e-02	6.97312e-05	8.09018e-04	8.99134e-03	3.19545e-03	2.26150e-01	4.71560e-13	1.25840e-02	1.58583e-02	2.16818e+03	2.16794e+03	-1.60000e-07	-7.37941e-11	7.93377e-01	2.42310e-01	4.00000e-08	1.84507e-11	1.05166e+00	1.82799e-01
7.94200e+03	3.52351e+01	9.99480e+00	1.99255e+00	2.90062e-01	4.17839e-03	2.94240e-01	5.88480e-01	7.08485e-03	1.49310e-02	1.52922e-04	9.76151e-03	1.26357e-02	1.09007e-02	7.66952e-05	8.82505e-04	9.70131e-03	3.51371e-03	2.44200e-01	5.19290e-13	1.35940e-02	1.71337e-02	2.16820e+03	2.16793e+03	-1.60000e-07	-7.37936e-11	7.93378e-01	2.42370e-01	4.00000e-08	1.84508e-11	1.05166e+00	1.82845e-01
7.94100e+03	3.52307e+01	9.99441e+00	1.99199e+00	2.89553e-01	4.25695e-03	2.93810e-01	5.87620e-01	7.61211e-03	1.60417e-02	1.67225e-04	1.04734e-02	1.35796e-02	1.17145e-02	8.38902e-05	9.57365e-04	1.04100e-02	3.84238e-03	2.62247e-01	5.68703e-13	1.46050e-02	1.84103e-02	2.16821e+03	2.16793e+03	-1.50000e-07	-6.91809e-11	8.06293e-01	2.38548e-01	4.00000e-08	1.84508e-11	1.05166e+00	1.82891e-01
