Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
7.55358e+03	3.35119e+01	1.00000e+01	2.00000e+00	1.77853e-01	2.14670e-03	1.80000e-01	3.60000e-01	2.31127e-07	5.22591e-07	2.41321e-09	2.12027e-07	4.04985e-07	3.74839e-07	1.18908e-09	8.90479e-09	2.07472e-07	5.53901e-08	5.06736e-06	1.33792e-17	9.79000e-07	1.00000e-06	2.49971e+03	2.49971e+03	nan	nan	nan	nan	nan	nan	nan	nan
7.55300e+03	3.35093e+01	9.99994e+00	1.99989e+00	1.77801e-01	2.15170e-03	1.79953e-01	3.59906e-01	4.76037e-05	1.07630e-04	4.98028e-07	4.36574e-05	8.34120e-05	7.71996e-05	2.45399e-07	1.83579e-06	4.27190e-05	1.14432e-05	1.04454e-03	2.76478e-15	1.74000e-04	2.05949e-04	2.16003e+03	2.16003e+03	5.81745e-03	2.69322e-06	7.54202e+03	2.81899e-05	5.81747e-03	2.69324e-06	7.54207e+03	2.81896e-05
7.55200e+03	3.35049e+01	9.99955e+00	1.99922e+00	1.77477e-01	2.18055e-03	1.79657e-01	3.59314e-01	3.44966e-04	7.79968e-04	3.65505e-06	3.15926e-04	6.04486e-04	5.59477e-04	1.80107e-06	1.33835e-05	3.09127e-04	8.39830e-05	7.56125e-03	2.03248e-14	1.26200e-03	1.49215e-03	2.16004e+03	2.16003e+03	-6.00000e-08	-2.77773e-11	9.22223e-01	2.30600e-01	3.00000e-08	1.38888e-11	1.03889e+00	2.04704e-01
7.55100e+03	3.35004e+01	9.99927e+00	1.99873e+00	1.77239e-01	2.20197e-03	1.79441e-01	3.58882e-01	5.62538e-04	1.27188e-03	6.01520e-06	5.14641e-04	9.85777e-04	9.12363e-04	2.96418e-06	2.19193e-05	5.03551e-04	1.38214e-04	1.23199e-02	3.34899e-14	2.05900e-03	2.43287e-03	2.16003e+03	2.16002e+03	1.00000e-08	4.62956e-12	1.01296e+00	2.09999e-01	7.00000e-08	3.24072e-11	1.09074e+00	1.95024e-01
7.55000e+03	3.34960e+01	9.99898e+00	1.99824e+00	1.77002e-01	2.22357e-03	1.79225e-01	3.58450e-01	7.80209e-04	1.76400e-03	8.41944e-06	7.13017e-04	1.36726e-03	1.26542e-03	4.14908e-06	3.05322e-05	6.97637e-04	1.93451e-04	1.70722e-02	4.69309e-14	2.85500e-03	3.37370e-03	2.16003e+03	2.16001e+03	1.00000e-08	4.62956e-12	1.01296e+00	2.10054e-01	7.00000e-08	3.24073e-11	1.09074e+00	1.95076e-01
7.54900e+03	3.34916e+01	9.99870e+00	1.99774e+00	1.76764e-01	2.24537e-03	1.79010e-01	3.58020e-01	9.97972e-04	2.25631e-03	1.08683e-05	9.11058e-04	1.74893e-03	1.61864e-03	5.35604e-06	3.92226e-05	8.91379e-04	2.49718e-04	2.18189e-02	6.06545e-14	3.65200e-03	4.31462e-03	2.16003e+03	2.16001e+03	1.00000e-08	4.62956e-12	1.01296e+00	2.10110e-01	7.00000e-08	3.24074e-11	1.09074e+00	1.95128e-01
7.54800e+03	3.34871e+01	9.99842e+00	1.99725e+00	1.76527e-01	2.26735e-03	1.78794e-01	3.57588e-01	1.21582e-03	2.74883e-03	1.33623e-05	1.10876e-03	2.13079e-03	1.97202e-03	6.58537e-06	4.79907e-05	1.08478e-03	3.07024e-04	2.65596e-02	7.46645e-14	4.44800e-03	5.25564e-03	2.16003e+03	2.16000e+03	1.00000e-08	4.62956e-12	1.01296e+00	2.10166e-01	7.00000e-08	3.24075e-11	1.09074e+00	1.95179e-01
7.54700e+03	3.34827e+01	9.99813e+00	1.99676e+00	1.76290e-01	2.28952e-03	1.78579e-01	3.57158e-01	1.43377e-03	3.24152e-03	1.59020e-05	1.30612e-03	2.51284e-03	2.32556e-03	7.83726e-06	5.68366e-05	1.27784e-03	3.65378e-04	3.12943e-02	8.89634e-14	5.24600e-03	6.19674e-03	2.16003e+03	2.15999e+03	1.00000e-08	4.62956e-12	1.01296e+00	2.10221e-01	7.00000e-08	3.24076e-11	1.09074e+00	1.95231e-01
7.54600e+03	3.34783e+01	9.99785e+00	1.99626e+00	1.76052e-01	2.31189e-03	1.78364e-01	3.56728e-01	1.65181e-03	3.73440e-03	1.84879e-05	1.50314e-03	2.89506e-03	2.67926e-03	9.11205e-06	6.57605e-05	1.47055e-03	4.24796e-04	3.60231e-02	1.03556e-13	6.04300e-03	7.13792e-03	2.16003e+03	2.15998e+03	0.00000e+00	0.00000e+00	1.00000e+00	2.13003e-01	7.00000e-08	3.24078e-11	1.09074e+00	1.95283e-01
7.54500e+03	3.34738e+01	9.99756e+00	1.99577e+00	1.75815e-01	2.33444e-03	1.78149e-01	3.56298e-01	1.86992e-03	4.22747e-03	2.11206e-05	1.69981e-03	3.27747e-03	3.03311e-03	1.04100e-05	7.47628e-05	1.66291e-03	4.85291e-04	4.07458e-02	1.18447e-13	6.84000e-03	8.07917e-03	2.16003e+03	2.15998e+03	1.00000e-08	4.62957e-12	1.01296e+00	2.10333e-01	7.00000e-08	3.24079e-11	1.09074e+00	1.95334e-01
