Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
6.48115e+03	2.87540e+01	5.00000e+00	2.00000e+00	2.95326e-01	4.67388e-03	3.00000e-01	6.00000e-01	8.36282e-08	6.84611e-07	4.65169e-09	1.63060e-07	1.77089e-07	5.93441e-07	2.76999e-09	3.21591e-08	1.91164e-07	1.07019e-07	4.36757e-06	1.55100e-17	9.37000e-07	1.00000e-06	2.47996e+03	2.47996e+03	nan	nan	nan	nan	nan	nan	nan	nan
6.48100e+03	2.87533e+01	4.99998e+00	1.99992e+00	2.95293e-01	4.68039e-03	2.99974e-01	5.99948e-01	1.02652e-05	8.40318e-05	5.71715e-07	2.00135e-05	2.17377e-05	7.28425e-05	3.40450e-07	3.95030e-06	2.34628e-05	1.31365e-05	5.35443e-04	1.90400e-15	1.05000e-04	1.22748e-04	2.27295e+03	2.27295e+03	1.39399e-02	6.13288e-06	1.71731e+04	1.68146e-05	1.39400e-02	6.13295e-06	1.71732e+04	1.68145e-05
6.48000e+03	2.87489e+01	4.99960e+00	1.99829e+00	2.94652e-01	4.80380e-03	2.99456e-01	5.98912e-01	2.09319e-04	1.71275e-03	1.19504e-05	4.07474e-04	4.43413e-04	1.48521e-03	7.11890e-06	8.16851e-05	4.77688e-04	2.74586e-04	1.09252e-02	3.98683e-14	2.14900e-03	2.50349e-03	2.27298e+03	2.27297e+03	-2.90000e-07	-1.27584e-10	6.42764e-01	4.49384e-01	-1.80000e-07	-7.91911e-11	7.78265e-01	3.71143e-01
6.47900e+03	2.87445e+01	4.99925e+00	1.99680e+00	2.94062e-01	4.91864e-03	2.98980e-01	5.97960e-01	3.91144e-04	3.19920e-03	2.28382e-05	7.60347e-04	8.28859e-04	2.77511e-03	1.36092e-05	1.54580e-04	8.91337e-04	5.24760e-04	2.04273e-02	7.63152e-14	4.01500e-03	4.67901e-03	2.27301e+03	2.27298e+03	-2.60000e-07	-1.14385e-10	6.79723e-01	4.25081e-01	-1.40000e-07	-6.15927e-11	8.27541e-01	3.49152e-01
6.47800e+03	2.87400e+01	4.99890e+00	1.99531e+00	2.93468e-01	5.03540e-03	2.98503e-01	5.97006e-01	5.72896e-04	4.68384e-03	3.42044e-05	1.11207e-03	1.21440e-03	4.06427e-03	2.03890e-05	2.29256e-04	1.30360e-03	7.85917e-04	2.99358e-02	1.14480e-13	5.88100e-03	6.85446e-03	2.27303e+03	2.27300e+03	-2.50000e-07	-1.09984e-10	6.92045e-01	4.17641e-01	-1.40000e-07	-6.15923e-11	8.27542e-01	3.49259e-01
6.47700e+03	2.87356e+01	4.99855e+00	1.99383e+00	2.92871e-01	5.15405e-03	2.98025e-01	5.96050e-01	7.54511e-04	6.16613e-03	4.60555e-05	1.46250e-03	1.59990e-03	5.35224e-03	2.74624e-05	3.05690e-04	1.71431e-03	1.05821e-03	3.94475e-02	1.54394e-13	7.74600e-03	9.02906e-03	2.27306e+03	2.27301e+03	-2.50000e-07	-1.09983e-10	6.92048e-01	4.17768e-01	-1.40000e-07	-6.15919e-11	8.27543e-01	3.49366e-01
6.47600e+03	2.87311e+01	4.99820e+00	1.99235e+00	2.92271e-01	5.27453e-03	2.97545e-01	5.95090e-01	9.35918e-04	7.64550e-03	5.83967e-05	1.81150e-03	1.98523e-03	6.63854e-03	3.48327e-05	3.83852e-04	2.12331e-03	1.34179e-03	4.89599e-02	1.96089e-13	9.60900e-03	1.12020e-02	2.27308e+03	2.27303e+03	-2.50000e-07	-1.09982e-10	6.92052e-01	4.17895e-01	-1.40000e-07	-6.15916e-11	8.27544e-01	3.49474e-01
6.47500e+03	2.87267e+01	4.99786e+00	1.99087e+00	2.91667e-01	5.39679e-03	2.97064e-01	5.94128e-01	1.11706e-03	9.12152e-03	7.12330e-05	2.15897e-03	2.37024e-03	7.92277e-03	4.25035e-05	4.63718e-04	2.53044e-03	1.63672e-03	5.84677e-02	2.39582e-13	1.14680e-02	1.33726e-02	2.27311e+03	2.27304e+03	-2.50000e-07	-1.09980e-10	6.92055e-01	4.18022e-01	-1.30000e-07	-5.71918e-11	8.39863e-01	3.44454e-01
6.47400e+03	2.87223e+01	4.99751e+00	1.98940e+00	2.91061e-01	5.52077e-03	2.96582e-01	5.93164e-01	1.29786e-03	1.05935e-02	8.45672e-05	2.50474e-03	2.75479e-03	9.20438e-03	5.04765e-05	5.45245e-04	2.93553e-03	1.94313e-03	6.79691e-02	2.84903e-13	1.33250e-02	1.55399e-02	2.27313e+03	2.27305e+03	-2.50000e-07	-1.09979e-10	6.92058e-01	4.18149e-01	-1.40000e-07	-6.15908e-11	8.27546e-01	3.49689e-01
6.47300e+03	2.87178e+01	4.99717e+00	1.98793e+00	2.90452e-01	5.64641e-03	2.96099e-01	5.92198e-01	1.47826e-03	1.20611e-02	9.84025e-05	2.84871e-03	3.13874e-03	1.04830e-02	5.87539e-05	6.28398e-04	3.33843e-03	2.26101e-03	7.74576e-02	3.32058e-13	1.51770e-02	1.77032e-02	2.27316e+03	2.27307e+03	-2.50000e-07	-1.09978e-10	6.92062e-01	4.18276e-01	-1.40000e-07	-6.15904e-11	8.27547e-01	3.49796e-01
