Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
6.48115e+03	2.87540e+01	5.00000e+00	2.00000e+00	2.95326e-01	4.67388e-03	3.00000e-01	6.00000e-01	1.67256e-07	1.36922e-06	9.30338e-09	3.26120e-07	3.54178e-07	1.18688e-06	5.53998e-09	6.43182e-08	3.82328e-07	2.14038e-07	8.73515e-06	3.10200e-17	9.37000e-07	1.00000e-06	2.47996e+03	2.47996e+03	nan	nan	nan	nan	nan	nan	nan	nan
6.48100e+03	2.87533e+01	4.99998e+00	1.99992e+00	2.95293e-01	4.68039e-03	2.99974e-01	5.99948e-01	2.05304e-05	1.68064e-04	1.14343e-06	4.00269e-05	4.34754e-05	1.45685e-04	6.80900e-07	7.90060e-06	4.69256e-05	2.62729e-05	1.07089e-03	3.80800e-15	1.05000e-04	1.22748e-04	2.27295e+03	2.27295e+03	1.39399e-02	6.13282e-06	1.71729e+04	1.68148e-05	1.39400e-02	6.13295e-06	1.71732e+04	1.68145e-05
6.48000e+03	2.87489e+01	4.99960e+00	1.99829e+00	2.94652e-01	4.80380e-03	2.99456e-01	5.98912e-01	4.18637e-04	3.42549e-03	2.39008e-05	8.14947e-04	8.86826e-04	2.97043e-03	1.42378e-05	1.63370e-04	9.55377e-04	5.49172e-04	2.18504e-02	7.97367e-14	2.14900e-03	2.50349e-03	2.27299e+03	2.27297e+03	-4.10000e-07	-1.80376e-10	4.94947e-01	5.83593e-01	-1.80000e-07	-7.91911e-11	7.78265e-01	3.71143e-01
6.47900e+03	2.87445e+01	4.99925e+00	1.99680e+00	2.94062e-01	4.91864e-03	2.98980e-01	5.97960e-01	7.82288e-04	6.39841e-03	4.56763e-05	1.52069e-03	1.65772e-03	5.55021e-03	2.72184e-05	3.09160e-04	1.78267e-03	1.04952e-03	4.08546e-02	1.52630e-13	4.01500e-03	4.67901e-03	2.27303e+03	2.27298e+03	-3.60000e-07	-1.58376e-10	5.56546e-01	5.19161e-01	-1.40000e-07	-6.15927e-11	8.27541e-01	3.49152e-01
6.47800e+03	2.87400e+01	4.99890e+00	1.99531e+00	2.93468e-01	5.03540e-03	2.98503e-01	5.97006e-01	1.14579e-03	9.36769e-03	6.84089e-05	2.22414e-03	2.42880e-03	8.12854e-03	4.07780e-05	4.58511e-04	2.60720e-03	1.57183e-03	5.98717e-02	2.28960e-13	5.88100e-03	6.85446e-03	2.27307e+03	2.27300e+03	-3.70000e-07	-1.62773e-10	5.44236e-01	5.31068e-01	-1.40000e-07	-6.15923e-11	8.27542e-01	3.49259e-01
6.47700e+03	2.87356e+01	4.99855e+00	1.99383e+00	2.92871e-01	5.15405e-03	2.98025e-01	5.96050e-01	1.50902e-03	1.23323e-02	9.21110e-05	2.92500e-03	3.19981e-03	1.07045e-02	5.49249e-05	6.11379e-04	3.42862e-03	2.11642e-03	7.88950e-02	3.08788e-13	7.74600e-03	9.02906e-03	2.27310e+03	2.27301e+03	-3.60000e-07	-1.58371e-10	5.56561e-01	5.19468e-01	-1.40000e-07	-6.15919e-11	8.27543e-01	3.49366e-01
6.47600e+03	2.87311e+01	4.99820e+00	1.99235e+00	2.92271e-01	5.27453e-03	2.97545e-01	5.95090e-01	1.87184e-03	1.52910e-02	1.16793e-04	3.62300e-03	3.97046e-03	1.32771e-02	6.96655e-05	7.67704e-04	4.24661e-03	2.68358e-03	9.79198e-02	3.92177e-13	9.60900e-03	1.12020e-02	2.27314e+03	2.27303e+03	-3.60000e-07	-1.58369e-10	5.56568e-01	5.19622e-01	-1.40000e-07	-6.15916e-11	8.27544e-01	3.49474e-01
6.47500e+03	2.87267e+01	4.99786e+00	1.99087e+00	2.91667e-01	5.39679e-03	2.97064e-01	5.94128e-01	2.23413e-03	1.82430e-02	1.42466e-04	4.31794e-03	4.74048e-03	1.58455e-02	8.50069e-05	9.27435e-04	5.06089e-03	3.27343e-03	1.16935e-01	4.79163e-13	1.14680e-02	1.33726e-02	2.27318e+03	2.27304e+03	-3.70000e-07	-1.62765e-10	5.44257e-01	5.31539e-01	-1.30000e-07	-5.71918e-11	8.39863e-01	3.44454e-01
6.47400e+03	2.87223e+01	4.99751e+00	1.98940e+00	2.91061e-01	5.52077e-03	2.96582e-01	5.93164e-01	2.59573e-03	2.11871e-02	1.69134e-04	5.00948e-03	5.50958e-03	1.84088e-02	1.00953e-04	1.09049e-03	5.87107e-03	3.88626e-03	1.35938e-01	5.69806e-13	1.33250e-02	1.55399e-02	2.27321e+03	2.27305e+03	-3.60000e-07	-1.58364e-10	5.56582e-01	5.19930e-01	-1.40000e-07	-6.15908e-11	8.27546e-01	3.49689e-01
6.47300e+03	2.87178e+01	4.99717e+00	1.98793e+00	2.90452e-01	5.64641e-03	2.96099e-01	5.92198e-01	2.95653e-03	2.41222e-02	1.96805e-04	5.69741e-03	6.27748e-03	2.09659e-02	1.17508e-04	1.25680e-03	6.67687e-03	4.52201e-03	1.54915e-01	6.64116e-13	1.51770e-02	1.77032e-02	2.27325e+03	2.27307e+03	-3.60000e-07	-1.58361e-10	5.56589e-01	5.20084e-01	-1.40000e-07	-6.15904e-11	8.27547e-01	3.49796e-01
6.47200e+03	2.87134e+01	4.99682e+00	1.98647e+00	2.89842e-01	5.77363e-03	2.95615e-01	5.91230e-01	3.31641e-03	2.70474e-02	2.25482e-04	6.38148e-03	7.04395e-03	2.35162e-02	1.34675e-04	1.42627e-03	7.47801e-03	5.18089e-03	1.73862e-01	7.62142e-13	1.70250e-02	1.98618e-02	2.27328e+03	2.27308e+03	-3.60000e-07	-1.58359e-10	5.56596e-01	5.20238e-01	-1.30000e-07	-5.71908e-11	8.39866e-01	3.44772e-01
6.47100e+03	2.87090e+01	4.99648e+00	1.98501e+00	2.89229e-01	5.90238e-03	2.95131e-01	5.90262e-01	3.67523e-03	2.99617e-02	2.55165e-04	7.06147e-03	7.80865e-03	2.60586e-02	1.52455e-04	1.59882e-03	8.27417e-03	5.86303e-03	1.92777e-01	8.63923e-13	1.88670e-02	2.20148e-02	2.27332e+03	2.27309e+03	-3.60000e-07	-1.58356e-10	5.56603e-01	5.20392e-01	-1.40000e-07	-6.15897e-11	8.27549e-01	3.50012e-01
6.47000e+03	2.87045e+01	4.99614e+00	1.98356e+00	2.88614e-01	6.03257e-03	2.94647e-01	5.89294e-01	4.03288e-03	3.28641e-02	2.85857e-04	7.73711e-03	8.57138e-03	2.85924e-02	1.70849e-04	1.77436e-03	9.06514e-03	6.56818e-03	2.11644e-01	9.69439e-13	2.07040e-02	2.41616e-02	2.27336e+03	2.27311e+03	-3.60000e-07	-1.58354e-10	5.56610e-01	5.20547e-01	-1.30000e-07	-5.71901e-11	8.39868e-01	3.44985e-01
6.46900e+03	2.87001e+01	4.99580e+00	1.98211e+00	2.87998e-01	6.16413e-03	2.94162e-01	5.88324e-01	4.38924e-03	3.57538e-02	3.17553e-04	8.40823e-03	9.33184e-03	3.11167e-02	1.89855e-04	1.95277e-03	9.85061e-03	7.29640e-03	2.30459e-01	1.07872e-12	2.25340e-02	2.63014e-02	2.27339e+03	2.27312e+03	-3.50000e-07	-1.53953e-10	5.68933e-01	5.09429e-01	-1.30000e-07	-5.71898e-11	8.39869e-01	3.45091e-01
6.46800e+03	2.86957e+01	4.99546e+00	1.98067e+00	2.87381e-01	6.29699e-03	2.93678e-01	5.87356e-01	4.74419e-03	3.86296e-02	3.50251e-04	9.07458e-03	1.00898e-02	3.36307e-02	2.09473e-04	2.13396e-03	1.06303e-02	8.04782e-03	2.49221e-01	1.19180e-12	2.43560e-02	2.84335e-02	2.27343e+03	2.27313e+03	-3.60000e-07	-1.58349e-10	5.56624e-01	5.20856e-01	-1.30000e-07	-5.71895e-11	8.39870e-01	3.45197e-01
6.46700e+03	2.86912e+01	4.99513e+00	1.97924e+00	2.86763e-01	6.43107e-03	2.93194e-01	5.86388e-01	5.09763e-03	4.14911e-02	3.83945e-04	9.73603e-03	1.08451e-02	3.61338e-02	2.29700e-04	2.31781e-03	1.14040e-02	8.82193e-03	2.67913e-01	1.30862e-12	2.61710e-02	3.05573e-02	2.27346e+03	2.27315e+03	-3.50000e-07	-1.53948e-10	5.68946e-01	5.09732e-01	-1.30000e-07	-5.71891e-11	8.39870e-01	3.45304e-01
6.46600e+03	2.86868e+01	4.99479e+00	1.97782e+00	2.86145e-01	6.56628e-03	2.92711e-01	5.85422e-01	5.44947e-03	4.43374e-02	4.18629e-04	1.03925e-02	1.15974e-02	3.86251e-02	2.50532e-04	2.50421e-03	1.21716e-02	9.61877e-03	2.86535e-01	1.42921e-12	2.79780e-02	3.26722e-02	2.27350e+03	2.27316e+03	-3.50000e-07	-1.53945e-10	5.68953e-01	5.09884e-01	-1.30000e-07	-5.71888e-11	8.39871e-01	3.45410e-01
6.46500e+03	2.86823e+01	4.99446e+00	1.97640e+00	2.85526e-01	6.70256e-03	2.92228e-01	5.84456e-01	5.79960e-03	4.71676e-02	4.54294e-04	1.10436e-02	1.23466e-02	4.11042e-02	2.71964e-04	2.69306e-03	1.29327e-02	1.04383e-02	3.05088e-01	1.55358e-12	2.97760e-02	3.47775e-02	2.27353e+03	2.27317e+03	-3.50000e-07	-1.53943e-10	5.68959e-01	5.10036e-01	-1.20000e-07	-5.27894e-11	8.52190e-01	3.40523e-01
6.46400e+03	2.86779e+01	4.99413e+00	1.97499e+00	2.84907e-01	6.83981e-03	2.91747e-01	5.83494e-01	6.14792e-03	4.99810e-02	4.90927e-04	1.16892e-02	1.30923e-02	4.35700e-02	2.93990e-04	2.88420e-03	1.36872e-02	1.12802e-02	3.23556e-01	1.68168e-12	3.15650e-02	3.68726e-02	2.27357e+03	2.27318e+03	-3.40000e-07	-1.49543e-10	5.81281e-01	4.99379e-01	-1.20000e-07	-5.27891e-11	8.52190e-01	3.40628e-01
6.46300e+03	2.86735e+01	4.99380e+00	1.97360e+00	2.84288e-01	6.97796e-03	2.91266e-01	5.82532e-01	6.49438e-03	5.27773e-02	5.28522e-04	1.23294e-02	1.38346e-02	4.60225e-02	3.16606e-04	3.07757e-03	1.44350e-02	1.21438e-02	3.41932e-01	1.81346e-12	3.33440e-02	3.89572e-02	2.27360e+03	2.27320e+03	-3.40000e-07	-1.49540e-10	5.81287e-01	4.99528e-01	-1.30000e-07	-5.71879e-11	8.39874e-01	3.45730e-01
6.46200e+03	2.86690e+01	4.99348e+00	1.97221e+00	2.83669e-01	7.11693e-03	2.90786e-01	5.81572e-01	6.83888e-03	5.55557e-02	5.67063e-04	1.29638e-02	1.45731e-02	4.84607e-02	3.39802e-04	3.27300e-03	1.51760e-02	1.30295e-02	3.60222e-01	1.94897e-12	3.51130e-02	4.10306e-02	2.27364e+03	2.27321e+03	-3.40000e-07	-1.49538e-10	5.81293e-01	4.99678e-01	-1.10000e-07	-4.83895e-11	8.64509e-01	3.35982e-01
6.46100e+03	2.86646e+01	4.99316e+00	1.97083e+00	2.83051e-01	7.25665e-03	2.90308e-01	5.80616e-01	7.18133e-03	5.83155e-02	6.06535e-04	1.35926e-02	1.53077e-02	5.08843e-02	3.63571e-04	3.47039e-03	1.59098e-02	1.39365e-02	3.78413e-01	2.08812e-12	3.68720e-02	4.30923e-02	2.27367e+03	2.27322e+03	-3.40000e-07	-1.49536e-10	5.81300e-01	4.99827e-01	-1.20000e-07	-5.27883e-11	8.52193e-01	3.40943e-01
6.46000e+03	2.86602e+01	4.99284e+00	1.96945e+00	2.82434e-01	7.39702e-03	2.89831e-01	5.79662e-01	7.52170e-03	6.10566e-02	6.46927e-04	1.42154e-02	1.60383e-02	5.32929e-02	3.87905e-04	3.66962e-03	1.66366e-02	1.48647e-02	3.96503e-01	2.23089e-12	3.86200e-02	4.51421e-02	2.27370e+03	2.27323e+03	-3.40000e-07	-1.49534e-10	5.81306e-01	4.99976e-01	-1.20000e-07	-5.27880e-11	8.52193e-01	3.41048e-01
6.45900e+03	2.86557e+01	4.99252e+00	1.96809e+00	2.81818e-01	7.53799e-03	2.89356e-01	5.78712e-01	7.85993e-03	6.37784e-02	6.88221e-04	1.48323e-02	1.67648e-02	5.56861e-02	4.12795e-04	3.87057e-03	1.73561e-02	1.58135e-02	4.14487e-01	2.37724e-12	4.03570e-02	4.71795e-02	2.27374e+03	2.27324e+03	-3.30000e-07	-1.45133e-10	5.93626e-01	4.89751e-01	-1.10000e-07	-4.83888e-11	8.64511e-01	3.36293e-01
