Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
6.48115e+03	2.87540e+01	5.00000e+00	2.00000e+00	2.95326e-01	4.67388e-03	3.00000e-01	6.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.37000e-07	1.00000e-06	2.47996e+03	2.47996e+03	nan	nan	nan	nan	nan	nan	nan	nan
6.48100e+03	2.87533e+01	4.99998e+00	1.99992e+00	2.95293e-01	4.68039e-03	2.99974e-01	5.99948e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05000e-04	1.22748e-04	2.27295e+03	2.27295e+03	1.39400e-02	6.13295e-06	1.71732e+04	1.68145e-05	1.39400e-02	6.13295e-06	1.71732e+04	1.68145e-05
6.48000e+03	2.87489e+01	4.99960e+00	1.99829e+00	2.94652e-01	4.80380e-03	2.99456e-01	5.98912e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.14900e-03	2.50349e-03	2.27297e+03	2.27297e+03	-1.80000e-07	-7.91911e-11	7.78265e-01	3.71143e-01	-1.80000e-07	-7.91911e-11	7.78265e-01	3.71143e-01
6.47900e+03	2.87445e+01	4.99925e+00	1.99680e+00	2.94062e-01	4.91864e-03	2.98980e-01	5.97960e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.01500e-03	4.67901e-03	2.27298e+03	2.27298e+03	-1.40000e-07	-6.15927e-11	8.27541e-01	3.49152e-01	-1.40000e-07	-6.15927e-11	8.27541e-01	3.49152e-01
6.47800e+03	2.87400e+01	4.99890e+00	1.99531e+00	2.93468e-01	5.03540e-03	2.98503e-01	5.97006e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.88100e-03	6.85446e-03	2.27300e+03	2.27300e+03	-1.40000e-07	-6.15923e-11	8.27542e-01	3.49259e-01	-1.40000e-07	-6.15923e-11	8.27542e-01	3.49259e-01
6.47700e+03	2.87356e+01	4.99855e+00	1.99383e+00	2.92871e-01	5.15405e-03	2.98025e-01	5.96050e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.74600e-03	9.02906e-03	2.27301e+03	2.27301e+03	-1.40000e-07	-6.15919e-11	8.27543e-01	3.49366e-01	-1.40000e-07	-6.15919e-11	8.27543e-01	3.49366e-01
6.47600e+03	2.87311e+01	4.99820e+00	1.99235e+00	2.92271e-01	5.27453e-03	2.97545e-01	5.95090e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.60900e-03	1.12020e-02	2.27303e+03	2.27303e+03	-1.40000e-07	-6.15916e-11	8.27544e-01	3.49474e-01	-1.40000e-07	-6.15916e-11	8.27544e-01	3.49474e-01
6.47500e+03	2.87267e+01	4.99786e+00	1.99087e+00	2.91667e-01	5.39679e-03	2.97064e-01	5.94128e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.14680e-02	1.33726e-02	2.27304e+03	2.27304e+03	-1.30000e-07	-5.71918e-11	8.39863e-01	3.44454e-01	-1.30000e-07	-5.71918e-11	8.39863e-01	3.44454e-01
6.47400e+03	2.87223e+01	4.99751e+00	1.98940e+00	2.91061e-01	5.52077e-03	2.96582e-01	5.93164e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.33250e-02	1.55399e-02	2.27305e+03	2.27305e+03	-1.40000e-07	-6.15908e-11	8.27546e-01	3.49689e-01	-1.40000e-07	-6.15908e-11	8.27546e-01	3.49689e-01
6.47300e+03	2.87178e+01	4.99717e+00	1.98793e+00	2.90452e-01	5.64641e-03	2.96099e-01	5.92198e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.51770e-02	1.77032e-02	2.27307e+03	2.27307e+03	-1.40000e-07	-6.15904e-11	8.27547e-01	3.49796e-01	-1.40000e-07	-6.15904e-11	8.27547e-01	3.49796e-01
