Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
9.35368e+03	4.14981e+01	1.50000e+01	2.00000e+00	2.97687e-01	2.31271e-03	3.00000e-01	6.00000e-01	3.21134e-07	2.82923e-07	2.64359e-09	3.34693e-07	5.04375e-07	1.81898e-07	1.16759e-09	1.67995e-08	2.94072e-07	6.07312e-08	8.11522e-06	8.80162e-18	8.94000e-07	1.00000e-06	2.53376e+03	2.53376e+03	nan	nan	nan	nan	nan	nan	nan	nan
9.35300e+03	4.14951e+01	1.49999e+01	1.99994e+00	2.97604e-01	2.31907e-03	2.99923e-01	5.99846e-01	6.66340e-05	5.87041e-05	5.49835e-07	6.94286e-05	1.04657e-04	3.77430e-05	2.42847e-07	3.49008e-06	6.10025e-05	1.26337e-05	1.68388e-03	1.83144e-15	1.53000e-04	2.07485e-04	2.08812e+03	2.08812e+03	6.54963e-03	3.13660e-06	8.78349e+03	1.57852e-05	6.54966e-03	3.13664e-06	8.78358e+03	1.57850e-05
9.35200e+03	4.14907e+01	1.49994e+01	1.99957e+00	2.97074e-01	2.35679e-03	2.99431e-01	5.98862e-01	4.91046e-04	4.32673e-04	4.11471e-06	5.10945e-04	7.71343e-04	2.78215e-04	1.81757e-06	2.59237e-05	4.48958e-04	9.45426e-05	1.23980e-02	1.37281e-14	1.12600e-03	1.52882e-03	2.08813e+03	2.08812e+03	-5.00000e-08	-2.39449e-11	9.32954e-01	1.48645e-01	6.00000e-08	2.87342e-11	1.08046e+00	1.28352e-01
9.35100e+03	4.14862e+01	1.49990e+01	1.99931e+00	2.96709e-01	2.38328e-03	2.99092e-01	5.98184e-01	7.83013e-04	6.89985e-04	6.63053e-06	8.13950e-04	1.23007e-03	4.43704e-04	2.92912e-06	4.15611e-05	7.15226e-04	1.52350e-04	1.97573e-02	2.21473e-14	1.79600e-03	2.43756e-03	2.08813e+03	2.08811e+03	3.00000e-08	1.43670e-11	1.04023e+00	1.33344e-01	1.20000e-07	5.74687e-11	1.16091e+00	1.19482e-01
9.35000e+03	4.14818e+01	1.49987e+01	1.99905e+00	2.96344e-01	2.41010e-03	2.98754e-01	5.97508e-01	1.07531e-03	9.47629e-04	9.20206e-06	1.11671e-03	1.68939e-03	6.09434e-04	4.06544e-06	5.73854e-05	9.81298e-04	2.11438e-04	2.71160e-02	3.07720e-14	2.46600e-03	3.34714e-03	2.08812e+03	2.08809e+03	3.00000e-08	1.43670e-11	1.04023e+00	1.33373e-01	1.10000e-07	5.26799e-11	1.14750e+00	1.20904e-01
9.34900e+03	4.14774e+01	1.49983e+01	1.99880e+00	2.95978e-01	2.43727e-03	2.98415e-01	5.96830e-01	1.36794e-03	1.20560e-03	1.18303e-05	1.41922e-03	2.14930e-03	7.75408e-04	5.22701e-06	7.33978e-05	1.24717e-03	2.71830e-04	3.44739e-02	3.96066e-14	3.13700e-03	4.25756e-03	2.08812e+03	2.08808e+03	3.00000e-08	1.43670e-11	1.04023e+00	1.33401e-01	1.10000e-07	5.26802e-11	1.14750e+00	1.20930e-01
9.34800e+03	4.14729e+01	1.49980e+01	1.99854e+00	2.95612e-01	2.46478e-03	2.98076e-01	5.96152e-01	1.66090e-03	1.46391e-03	1.45162e-05	1.72147e-03	2.60981e-03	9.41618e-04	6.41429e-06	8.96003e-05	1.51283e-03	3.33539e-04	4.18295e-02	4.86536e-14	3.80900e-03	5.16881e-03	2.08812e+03	2.08807e+03	3.00000e-08	1.43670e-11	1.04023e+00	1.33430e-01	1.10000e-07	5.26805e-11	1.14751e+00	1.20956e-01
9.34700e+03	4.14685e+01	1.49976e+01	1.99828e+00	2.95245e-01	2.49263e-03	2.97737e-01	5.95474e-01	1.95418e-03	1.72254e-03	1.72609e-05	2.02346e-03	3.07091e-03	1.10806e-03	7.62767e-06	1.05995e-04	1.77827e-03	3.96607e-04	4.91853e-02	5.79196e-14	4.48100e-03	6.08088e-03	2.08811e+03	2.08806e+03	3.00000e-08	1.43670e-11	1.04023e+00	1.33459e-01	1.10000e-07	5.26808e-11	1.14751e+00	1.20982e-01
9.34600e+03	4.14641e+01	1.49972e+01	1.99802e+00	2.94877e-01	2.52084e-03	2.97398e-01	5.94796e-01	2.24779e-03	1.98150e-03	2.00654e-05	2.32518e-03	3.53259e-03	1.27475e-03	8.86775e-06	1.22584e-04	2.04350e-03	4.61037e-04	5.65382e-02	6.74062e-14	5.15400e-03	6.99377e-03	2.08811e+03	2.08805e+03	3.00000e-08	1.43671e-11	1.04023e+00	1.33487e-01	1.20000e-07	5.74702e-11	1.16092e+00	1.19610e-01
9.34500e+03	4.14596e+01	1.49969e+01	1.99776e+00	2.94509e-01	2.54939e-03	2.97059e-01	5.94118e-01	2.54171e-03	2.24077e-03	2.29308e-05	2.62663e-03	3.99485e-03	1.44167e-03	1.01350e-05	1.39368e-04	2.30851e-03	5.26884e-04	6.38919e-02	7.71220e-14	5.82700e-03	7.90746e-03	2.08811e+03	2.08804e+03	3.00000e-08	1.43671e-11	1.04023e+00	1.33516e-01	1.10000e-07	5.26813e-11	1.14751e+00	1.21033e-01
