Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
5.46135e+03	1.99029e+01	1.00000e+00	1.00000e+00	1.54273e-01	5.72695e-03	1.60000e-01	3.20000e-01	9.16421e-09	9.87181e-07	8.23898e-11	3.59169e-10	2.20526e-08	9.72427e-07	5.57529e-11	8.76282e-12	4.29750e-10	2.30206e-09	1.02042e-08	5.13852e-19	1.11000e-06	1.00000e-06	2.82308e+03	2.82308e+03	nan	nan	nan	nan	nan	nan	nan	nan
5.46100e+03	1.99016e+01	9.99999e-01	9.99944e-01	1.54272e-01	5.72776e-03	1.60000e-01	3.20000e-01	5.28426e-07	5.69190e-05	4.75075e-09	2.07102e-08	1.27159e-06	5.60683e-05	3.21481e-09	5.05277e-10	2.47801e-08	1.32887e-07	5.89041e-07	2.96624e-17	6.20000e-05	5.76582e-05	2.74074e+03	2.74074e+03	2.34239e-03	8.54655e-07	2.39403e+03	2.51770e-04	2.34239e-03	8.54655e-07	2.39403e+03	2.51770e-04
5.46000e+03	1.98980e+01	9.99995e-01	9.99449e-01	1.54272e-01	5.72790e-03	1.60000e-01	3.20000e-01	5.10733e-06	5.49967e-04	4.59140e-08	2.00223e-07	1.22901e-05	5.41745e-04	3.10697e-08	4.88325e-09	2.39578e-07	1.28430e-06	5.69469e-06	2.86675e-16	6.02000e-04	5.57111e-04	2.74074e+03	2.74074e+03	3.00000e-08	1.09460e-11	1.03065e+00	5.85037e-01	3.00000e-08	1.09460e-11	1.03065e+00	5.85037e-01
5.45900e+03	1.98943e+01	9.99991e-01	9.99040e-01	1.54272e-01	5.72802e-03	1.60000e-01	3.20000e-01	8.88167e-06	9.56135e-04	7.98331e-08	3.48254e-07	2.13726e-05	9.41837e-04	5.40223e-08	8.49098e-09	4.16723e-07	2.23312e-06	9.90509e-06	4.98469e-16	1.04700e-03	9.68558e-04	2.74074e+03	2.74074e+03	6.00000e-08	2.18920e-11	1.06130e+00	5.68351e-01	5.00000e-08	1.82433e-11	1.05108e+00	5.73875e-01
5.45800e+03	1.98907e+01	9.99987e-01	9.98633e-01	1.54271e-01	5.72815e-03	1.59999e-01	3.19998e-01	1.26568e-05	1.36217e-03	1.13749e-07	4.96373e-07	3.04568e-05	1.34179e-03	7.69730e-08	1.20986e-08	5.93987e-07	3.18183e-06	1.41178e-05	7.10245e-16	1.49300e-03	1.37987e-03	2.74073e+03	2.74073e+03	6.00000e-08	2.18920e-11	1.06130e+00	5.68559e-01	6.00000e-08	2.18920e-11	1.06130e+00	5.68559e-01
5.45700e+03	1.98870e+01	9.99983e-01	9.98225e-01	1.54271e-01	5.72827e-03	1.59999e-01	3.19998e-01	1.64327e-05	1.76807e-03	1.47663e-07	6.44579e-07	3.95430e-05	1.74162e-03	9.99218e-08	1.57061e-08	7.71369e-07	4.13047e-06	1.83329e-05	9.22001e-16	1.93800e-03	1.79105e-03	2.74072e+03	2.74072e+03	5.00000e-08	1.82434e-11	1.05108e+00	5.74295e-01	6.00000e-08	2.18921e-11	1.06130e+00	5.68767e-01
5.45600e+03	1.98834e+01	9.99979e-01	9.97817e-01	1.54271e-01	5.72839e-03	1.59999e-01	3.19998e-01	2.02095e-05	2.17384e-03	1.81575e-07	7.92875e-07	4.86310e-05	2.14131e-03	1.22869e-07	1.93137e-08	9.48874e-07	5.07903e-06	2.25505e-05	1.13374e-15	2.38300e-03	2.20210e-03	2.74072e+03	2.74072e+03	6.00000e-08	2.18921e-11	1.06130e+00	5.68976e-01	5.00000e-08	1.82434e-11	1.05108e+00	5.74506e-01
5.45500e+03	1.98797e+01	9.99975e-01	9.97410e-01	1.54271e-01	5.72851e-03	1.59999e-01	3.19998e-01	2.39870e-05	2.57947e-03	2.15484e-07	9.41256e-07	5.77206e-05	2.54086e-03	1.45814e-07	2.29210e-08	1.12649e-06	6.02749e-06	2.67704e-05	1.34547e-15	2.82800e-03	2.61301e-03	2.74071e+03	2.74071e+03	6.00000e-08	2.18922e-11	1.06130e+00	5.69184e-01	6.00000e-08	2.18921e-11	1.06130e+00	5.69184e-01
5.45400e+03	1.98761e+01	9.99972e-01	9.97002e-01	1.54270e-01	5.72863e-03	1.59999e-01	3.19998e-01	2.77653e-05	2.98496e-03	2.49390e-07	1.08973e-06	6.68125e-05	2.94027e-03	1.68757e-07	2.65283e-08	1.30423e-06	6.97590e-06	3.09928e-05	1.55718e-15	3.27300e-03	3.02379e-03	2.74071e+03	2.74071e+03	6.00000e-08	2.18922e-11	1.06130e+00	5.69393e-01	5.00000e-08	1.82435e-11	1.05108e+00	5.74927e-01
5.45300e+03	1.98724e+01	9.99968e-01	9.96595e-01	1.54270e-01	5.72875e-03	1.59999e-01	3.19998e-01	3.15445e-05	3.39033e-03	2.83294e-07	1.23829e-06	7.59059e-05	3.33956e-03	1.91698e-07	3.01355e-08	1.48209e-06	7.92440e-06	3.52185e-05	1.76891e-15	3.71800e-03	3.43444e-03	2.74070e+03	2.74070e+03	5.00000e-08	1.82435e-11	1.05108e+00	5.75138e-01	6.00000e-08	2.18922e-11	1.06130e+00	5.69602e-01
