Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
6.05701e+03	2.20736e+01	1.00000e+00	1.00000e+00	4.45740e-02	1.15426e-01	1.60000e-01	3.20000e-01	6.09963e-09	9.79162e-07	2.61437e-09	1.37750e-09	1.46825e-08	9.64819e-07	1.76967e-09	6.08858e-11	9.50596e-11	7.30702e-08	3.97546e-08	1.63103e-17	1.29000e-06	1.00000e-06	2.76535e+03	2.76535e+03	nan	nan	nan	nan	nan	nan	nan	nan
6.05700e+03	2.20736e+01	1.00000e+00	9.99999e-01	4.45739e-02	1.15426e-01	1.60000e-01	3.20000e-01	1.19158e-08	1.91282e-06	5.10725e-09	2.69099e-09	2.86827e-08	1.88480e-06	3.45710e-09	1.18942e-10	1.85702e-10	1.42860e-07	7.77246e-08	3.18884e-17	2.00000e-06	1.95353e-06	2.67560e+03	2.67560e+03	1.33952e-01	5.00645e-05	1.40182e+05	3.49521e-06	1.33952e-01	5.00645e-05	1.40182e+05	3.49521e-06
6.05600e+03	2.20700e+01	9.99998e-01	9.99658e-01	4.45716e-02	1.15428e-01	1.59999e-01	3.19998e-01	2.10144e-06	3.37256e-04	9.00571e-07	4.74513e-07	5.05839e-06	3.32315e-04	6.09597e-07	2.09721e-08	3.27537e-08	2.51908e-05	1.37054e-05	5.62299e-15	4.30000e-04	3.44434e-04	2.67559e+03	2.67559e+03	8.00000e-08	2.99000e-11	1.08372e+00	4.52263e-01	8.00000e-08	2.99000e-11	1.08372e+00	4.52263e-01
6.05500e+03	2.20663e+01	9.99996e-01	9.99318e-01	4.45693e-02	1.15430e-01	1.59999e-01	3.19998e-01	4.18345e-06	6.71228e-04	1.79256e-06	9.44518e-07	1.00700e-05	6.61393e-04	1.21338e-06	4.17420e-08	6.52124e-08	5.01414e-05	2.72806e-05	1.11924e-14	8.56000e-04	6.85516e-04	2.67559e+03	2.67559e+03	7.00000e-08	2.61626e-11	1.07326e+00	4.56823e-01	7.00000e-08	2.61626e-11	1.07326e+00	4.56823e-01
6.05400e+03	2.20627e+01	9.99994e-01	9.98978e-01	4.45670e-02	1.15432e-01	1.59998e-01	3.19996e-01	6.26595e-06	1.00511e-03	2.68450e-06	1.41451e-06	1.50827e-05	9.90383e-04	1.81713e-06	6.25084e-08	9.76863e-08	7.50904e-05	4.08551e-05	1.67616e-14	1.28100e-03	1.02651e-03	2.67558e+03	2.67558e+03	8.00000e-08	2.99001e-11	1.08372e+00	4.52561e-01	8.00000e-08	2.99001e-11	1.08372e+00	4.52561e-01
6.05300e+03	2.20590e+01	9.99991e-01	9.98638e-01	4.45647e-02	1.15433e-01	1.59998e-01	3.19996e-01	8.34896e-06	1.33891e-03	3.57640e-06	1.88449e-06	2.00967e-05	1.31929e-03	2.42085e-06	8.32716e-08	1.30176e-07	1.00041e-04	5.44307e-05	2.23311e-14	1.70700e-03	1.36742e-03	2.67557e+03	2.67557e+03	7.00000e-08	2.61627e-11	1.07326e+00	4.57125e-01	7.00000e-08	2.61627e-11	1.07326e+00	4.57125e-01
6.05200e+03	2.20554e+01	9.99989e-01	9.98298e-01	4.45624e-02	1.15435e-01	1.59997e-01	3.19994e-01	1.04324e-05	1.67262e-03	4.46822e-06	2.35444e-06	2.51117e-05	1.64810e-03	3.02451e-06	1.04031e-07	1.62679e-07	1.24987e-04	6.80041e-05	2.78998e-14	2.13300e-03	1.70823e-03	2.67556e+03	2.67556e+03	8.00000e-08	2.99003e-11	1.08372e+00	4.52860e-01	8.00000e-08	2.99003e-11	1.08372e+00	4.52860e-01
6.05100e+03	2.20517e+01	9.99987e-01	9.97959e-01	4.45601e-02	1.15437e-01	1.59997e-01	3.19994e-01	1.25164e-05	2.00625e-03	5.36004e-06	2.82441e-06	3.01281e-05	1.97683e-03	3.62817e-06	1.24788e-07	1.95200e-07	1.49933e-04	8.15781e-05	3.34685e-14	2.55900e-03	2.04897e-03	2.67556e+03	2.67556e+03	7.00000e-08	2.61628e-11	1.07326e+00	4.57427e-01	7.00000e-08	2.61628e-11	1.07326e+00	4.57427e-01
6.05000e+03	2.20481e+01	9.99985e-01	9.97619e-01	4.45578e-02	1.15439e-01	1.59996e-01	3.19992e-01	1.46008e-05	2.33978e-03	6.25179e-06	3.29435e-06	3.51452e-05	2.30547e-03	4.23176e-06	1.45540e-07	2.27735e-07	1.74876e-04	9.51506e-05	3.90367e-14	2.98500e-03	2.38961e-03	2.67555e+03	2.67555e+03	7.00000e-08	2.61629e-11	1.07326e+00	4.57578e-01	7.00000e-08	2.61629e-11	1.07326e+00	4.57578e-01
6.04900e+03	2.20445e+01	9.99983e-01	9.97280e-01	4.45555e-02	1.15441e-01	1.59996e-01	3.19992e-01	1.66857e-05	2.67322e-03	7.14346e-06	3.76426e-06	4.01637e-05	2.63402e-03	4.83533e-06	1.66289e-07	2.60285e-07	1.99818e-04	1.08723e-04	4.46046e-14	3.41100e-03	2.73016e-03	2.67554e+03	2.67554e+03	8.00000e-08	2.99006e-11	1.08372e+00	4.53309e-01	8.00000e-08	2.99006e-11	1.08372e+00	4.53309e-01
