Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
6.32659e+03	2.30561e+01	3.30000e+00	1.00000e+00	4.65534e-02	1.13447e-01	1.60000e-01	3.20000e-01	4.92866e-08	9.35807e-07	2.67432e-09	1.90380e-09	1.11745e-07	8.68519e-07	1.70507e-09	6.21486e-11	7.21544e-10	7.48893e-08	5.46552e-08	1.67164e-17	1.31000e-06	1.00000e-06	2.76928e+03	2.76928e+03	nan	nan	nan	nan	nan	nan	nan	nan
6.32600e+03	2.30539e+01	3.30000e+00	9.99911e-01	4.65462e-02	1.13454e-01	1.60000e-01	3.20000e-01	4.65511e-06	8.83777e-05	2.52555e-07	1.79788e-07	1.05542e-05	8.20225e-05	1.61020e-07	5.86814e-09	6.81386e-08	7.06447e-06	5.15569e-06	1.57689e-15	1.14000e-04	9.44406e-05	2.54826e+03	2.54826e+03	3.75310e-03	1.47281e-06	4.12487e+03	1.08896e-04	3.75308e-03	1.47280e-06	4.12485e+03	1.08896e-04
6.32500e+03	2.30503e+01	3.29997e+00	9.99436e-01	4.65423e-02	1.13457e-01	1.59999e-01	3.19998e-01	2.92372e-05	5.54897e-04	1.58616e-06	1.12923e-06	6.62862e-05	5.14985e-04	1.01126e-06	3.68484e-08	4.28028e-07	4.43684e-05	3.23823e-05	9.90379e-15	7.16000e-04	5.92974e-04	2.54826e+03	2.54826e+03	7.00000e-08	2.74699e-11	1.07692e+00	4.17231e-01	6.00000e-08	2.35456e-11	1.06593e+00	4.21532e-01
6.32400e+03	2.30466e+01	3.29995e+00	9.99081e-01	4.65392e-02	1.13459e-01	1.59998e-01	3.19996e-01	4.76417e-05	9.03964e-04	2.58430e-06	1.83995e-06	1.08011e-04	8.38931e-04	1.64760e-06	6.00306e-08	6.97529e-07	7.22891e-05	5.27636e-05	1.61363e-14	1.16700e-03	9.66007e-04	2.54825e+03	2.54825e+03	1.00000e-07	3.92428e-11	1.10988e+00	4.04967e-01	8.00000e-08	3.13942e-11	1.08790e+00	4.13148e-01
6.32300e+03	2.30430e+01	3.29993e+00	9.98725e-01	4.65361e-02	1.13461e-01	1.59997e-01	3.19994e-01	6.60509e-05	1.25294e-03	3.58241e-06	2.55076e-06	1.49745e-04	1.16278e-03	2.28390e-06	8.32081e-08	9.67145e-07	1.00207e-04	7.31457e-05	2.23683e-14	1.61800e-03	1.33895e-03	2.54824e+03	2.54824e+03	1.00000e-07	3.92430e-11	1.10988e+00	4.05095e-01	8.00000e-08	3.13943e-11	1.08790e+00	4.13278e-01
6.32200e+03	2.30394e+01	3.29991e+00	9.98370e-01	4.65331e-02	1.13463e-01	1.59997e-01	3.19994e-01	8.44647e-05	1.60182e-03	4.58052e-06	3.26167e-06	1.91487e-04	1.48653e-03	2.92018e-06	1.06381e-07	1.23687e-06	1.28127e-04	9.35320e-05	2.86008e-14	2.06900e-03	1.71180e-03	2.54823e+03	2.54823e+03	1.00000e-07	3.92431e-11	1.10988e+00	4.05223e-01	8.00000e-08	3.13944e-11	1.08790e+00	4.13409e-01
6.32100e+03	2.30357e+01	3.29989e+00	9.98015e-01	4.65300e-02	1.13466e-01	1.59996e-01	3.19992e-01	1.02884e-04	1.95061e-03	5.57862e-06	3.97267e-06	2.33240e-04	1.81019e-03	3.55644e-06	1.29550e-07	1.50673e-06	1.56048e-04	1.13922e-04	3.48337e-14	2.52000e-03	2.08457e-03	2.54822e+03	2.54822e+03	1.00000e-07	3.92433e-11	1.10988e+00	4.05351e-01	9.00000e-08	3.53188e-11	1.09889e+00	4.09405e-01
6.32000e+03	2.30321e+01	3.29988e+00	9.97660e-01	4.65269e-02	1.13468e-01	1.59995e-01	3.19990e-01	1.21307e-04	2.29931e-03	6.57673e-06	4.68378e-06	2.75003e-04	2.13375e-03	4.19266e-06	1.52714e-07	1.77669e-06	1.83963e-04	1.34310e-04	4.10655e-14	2.97100e-03	2.45725e-03	2.54821e+03	2.54822e+03	9.00000e-08	3.53191e-11	1.09889e+00	4.09534e-01	8.00000e-08	3.13946e-11	1.08790e+00	4.13670e-01
6.31900e+03	2.30284e+01	3.29986e+00	9.97305e-01	4.65239e-02	1.13470e-01	1.59994e-01	3.19988e-01	1.39736e-04	2.64791e-03	7.57480e-06	5.39496e-06	3.16775e-04	2.45721e-03	4.82887e-06	1.75874e-07	2.04678e-06	2.11884e-04	1.54705e-04	4.72986e-14	3.42200e-03	2.82984e-03	2.54820e+03	2.54821e+03	1.00000e-07	3.92436e-11	1.10988e+00	4.05608e-01	8.00000e-08	3.13947e-11	1.08791e+00	4.13801e-01
6.31800e+03	2.30248e+01	3.29984e+00	9.96950e-01	4.65208e-02	1.13473e-01	1.59994e-01	3.19988e-01	1.58169e-04	2.99642e-03	8.57289e-06	6.10625e-06	3.58556e-04	2.78058e-03	5.46502e-06	1.99029e-07	2.31698e-06	2.39803e-04	1.75102e-04	5.35312e-14	3.87400e-03	3.20234e-03	2.54819e+03	2.54820e+03	1.00000e-07	3.92437e-11	1.10988e+00	4.05736e-01	9.00000e-08	3.53192e-11	1.09889e+00	4.09793e-01
