Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
8.12005e+03	3.60251e+01	1.00000e+01	2.00000e+00	2.16162e-01	8.38380e-02	3.00000e-01	6.00000e-01	1.77276e-07	3.63346e-07	6.85733e-08	2.08064e-07	3.53820e-07	2.96858e-07	3.84872e-08	1.15371e-07	1.94798e-07	1.57370e-06	7.12808e-06	2.28072e-16	8.03000e-07	1.00000e-06	2.51035e+03	2.51035e+03	nan	nan	nan	nan	nan	nan	nan	nan
8.12000e+03	3.60248e+01	1.00000e+01	2.00000e+00	2.16157e-01	8.38407e-02	2.99998e-01	5.99996e-01	9.92290e-07	2.03381e-06	3.83839e-07	1.16461e-06	1.98049e-06	1.66164e-06	2.15432e-07	6.45772e-07	1.09035e-06	8.81954e-06	3.99472e-05	1.27820e-15	4.00000e-06	5.59740e-06	2.17126e+03	2.17126e+03	6.24468e-02	2.87608e-05	8.05312e+04	2.28425e-06	6.24468e-02	2.87608e-05	8.05313e+04	2.28424e-06
8.11900e+03	3.60204e+01	9.99990e+00	1.99986e+00	2.15890e-01	8.39550e-02	2.99845e-01	5.99690e-01	6.64894e-05	1.36295e-04	2.57478e-05	7.79839e-05	1.32699e-04	1.11350e-04	1.44506e-05	4.32273e-05	7.29833e-05	5.91609e-04	2.67464e-03	8.57851e-14	2.60000e-04	3.74960e-04	2.17125e+03	2.17124e+03	1.20000e-07	5.52681e-11	1.15475e+00	1.59340e-01	1.60000e-07	7.36910e-11	1.20633e+00	1.52527e-01
8.11800e+03	3.60160e+01	9.99980e+00	1.99973e+00	2.15634e-01	8.40645e-02	2.99699e-01	5.99398e-01	1.29498e-04	2.65489e-04	5.02000e-05	1.51789e-04	2.58444e-04	2.16891e-04	2.81731e-05	8.41098e-05	1.42004e-04	1.15344e-03	5.20540e-03	1.67334e-13	5.07000e-04	7.30107e-04	2.17124e+03	2.17123e+03	1.20000e-07	5.52684e-11	1.15475e+00	1.59380e-01	1.60000e-07	7.36916e-11	1.20634e+00	1.52564e-01
8.11700e+03	3.60115e+01	9.99971e+00	1.99961e+00	2.15379e-01	8.41735e-02	2.99552e-01	5.99104e-01	1.92547e-04	3.94794e-04	7.47175e-05	2.25544e-04	3.84257e-04	3.22517e-04	4.19312e-05	1.24937e-04	2.10927e-04	1.71681e-03	7.73414e-03	2.49187e-13	7.54000e-04	1.08529e-03	2.17122e+03	2.17121e+03	1.20000e-07	5.52687e-11	1.15475e+00	1.59419e-01	1.60000e-07	7.36921e-11	1.20634e+00	1.52602e-01
8.11600e+03	3.60071e+01	9.99961e+00	1.99948e+00	2.15124e-01	8.42820e-02	2.99406e-01	5.98812e-01	2.55635e-04	5.24215e-04	9.93007e-05	2.99254e-04	5.10141e-04	4.28228e-04	5.57251e-05	1.65712e-04	2.79758e-04	2.28164e-03	1.02606e-02	3.31334e-13	1.00100e-03	1.44052e-03	2.17121e+03	2.17120e+03	1.20000e-07	5.52690e-11	1.15475e+00	1.59458e-01	1.60000e-07	7.36926e-11	1.20634e+00	1.52639e-01
8.11500e+03	3.60027e+01	9.99952e+00	1.99935e+00	2.14869e-01	8.43899e-02	2.99259e-01	5.98518e-01	3.18763e-04	6.53750e-04	1.23948e-04	3.72915e-04	6.36096e-04	5.34025e-04	6.95544e-05	2.06430e-04	3.48493e-04	2.84796e-03	1.27848e-02	4.13777e-13	1.24800e-03	1.79579e-03	2.17120e+03	2.17118e+03	1.30000e-07	5.98751e-11	1.16765e+00	1.57735e-01	1.60000e-07	7.36932e-11	1.20634e+00	1.52676e-01
8.11400e+03	3.59982e+01	9.99942e+00	1.99922e+00	2.14616e-01	8.44973e-02	2.99113e-01	5.98226e-01	3.81934e-04	7.83406e-04	1.48662e-04	4.46535e-04	7.62127e-04	6.39911e-04	8.34196e-05	2.47095e-04	4.17137e-04	3.41587e-03	1.53074e-02	4.96532e-13	1.49500e-03	2.15112e-03	2.17119e+03	2.17116e+03	1.20000e-07	5.52696e-11	1.15475e+00	1.59536e-01	1.60000e-07	7.36937e-11	1.20634e+00	1.52714e-01
8.11300e+03	3.59938e+01	9.99933e+00	1.99909e+00	2.14363e-01	8.46042e-02	2.98967e-01	5.97934e-01	4.45147e-04	9.13178e-04	1.73440e-04	5.20110e-04	8.88233e-04	7.45887e-04	9.73199e-05	2.87706e-04	4.85690e-04	3.98517e-03	1.78275e-02	5.79571e-13	1.74300e-03	2.50650e-03	2.17118e+03	2.17115e+03	1.20000e-07	5.52699e-11	1.15476e+00	1.59575e-01	1.60000e-07	7.36943e-11	1.20634e+00	1.52751e-01
8.11200e+03	3.59894e+01	9.99923e+00	1.99896e+00	2.14111e-01	8.47105e-02	2.98821e-01	5.97642e-01	5.08405e-04	1.04307e-03	1.98284e-04	5.93641e-04	1.01442e-03	8.51957e-04	1.11256e-04	3.28266e-04	5.54157e-04	4.55597e-03	2.03457e-02	6.62909e-13	1.99000e-03	2.86195e-03	2.17116e+03	2.17113e+03	1.20000e-07	5.52702e-11	1.15476e+00	1.59615e-01	1.60000e-07	7.36948e-11	1.20635e+00	1.52789e-01
