Pbar	depth	H2O_melt	CO2_melt	S6+_melt	S2-_melt	Stot_melt	SO2_melt	H2Ogas	CO2gas	SO2gas	Sgas	mH2Ogas	mCO2gas	mSO2gas	mS2gas	mH2Sgas	mS_released	mSulfur_released	Spart	Exsolv_vol_wt	Gas_wt	RhoBulk	rhomelt	dd_dp_bulk	beta_bulk	rv_bulk	z_bulk	dd_dp_melt	beta_melt	rv_melt	z_melt
1.00525e+03	4.45984e+00	3.30000e+00	1.50000e-02	7.01167e-03	4.88332e-04	7.50000e-03	1.50000e-02	5.54248e-07	3.23189e-07	2.62974e-09	1.12187e-07	7.36156e-07	1.75718e-07	9.82215e-10	2.28754e-10	8.27084e-08	6.04946e-08	2.58430e-06	3.50693e-16	9.25000e-06	1.00000e-06	2.38298e+03	2.38298e+03	nan	nan	nan	nan	nan	nan	nan	nan
1.00500e+03	4.45874e+00	3.29997e+00	1.49846e-02	7.00644e-03	4.88201e-04	7.49464e-03	1.49893e-02	2.69283e-05	1.56870e-05	1.27718e-07	5.44662e-06	3.57602e-05	8.52763e-06	4.76950e-08	1.10984e-08	4.01472e-06	2.93459e-06	1.25318e-04	1.70243e-14	4.26000e-04	4.85656e-05	2.25878e+03	2.25878e+03	4.99000e-03	2.20920e-06	6.18677e+03	1.94099e-03	4.98967e-03	2.20902e-06	6.18626e+03	1.94115e-03
1.00400e+03	4.45430e+00	3.29985e+00	1.49221e-02	6.98542e-03	4.87488e-04	7.47291e-03	1.49458e-02	1.34132e-04	7.78688e-05	6.35243e-07	2.70605e-05	1.78016e-04	4.23044e-05	2.37081e-07	5.49802e-08	1.99341e-05	1.45963e-05	6.22630e-04	8.49234e-14	2.12300e-03	2.41563e-04	2.25873e+03	2.25877e+03	4.60000e-07	2.03658e-10	1.57024e+00	7.66275e+00	1.20000e-07	5.31265e-11	1.14875e+00	1.04743e+01
1.00300e+03	4.44987e+00	3.29973e+00	1.48599e-02	6.96443e-03	4.86772e-04	7.45121e-03	1.49024e-02	2.41819e-04	1.39887e-04	1.14347e-06	4.86565e-05	3.20737e-04	7.59506e-05	4.26492e-07	9.85695e-08	3.58200e-05	2.62731e-05	1.11948e-03	1.53306e-13	3.82700e-03	4.34861e-04	2.25868e+03	2.25876e+03	4.60000e-07	2.03662e-10	1.57025e+00	7.67798e+00	1.30000e-07	5.75540e-11	1.16115e+00	1.03831e+01
1.00200e+03	4.44543e+00	3.29961e+00	1.47977e-02	6.94344e-03	4.86053e-04	7.42949e-03	1.48590e-02	3.50125e-04	2.01820e-04	1.65301e-06	7.02612e-05	4.64101e-04	1.09508e-04	6.16161e-07	1.41921e-07	5.16923e-05	3.79811e-05	1.61656e-03	2.22272e-13	5.54200e-03	6.28702e-04	2.25864e+03	2.25875e+03	4.60000e-07	2.03667e-10	1.57027e+00	7.69326e+00	1.20000e-07	5.31271e-11	1.14876e+00	1.05161e+01
1.00100e+03	4.44099e+00	3.29949e+00	1.47356e-02	6.92244e-03	4.85330e-04	7.40777e-03	1.48155e-02	4.59057e-04	2.63665e-04	2.16390e-06	9.18752e-05	6.08113e-04	1.42976e-04	8.06088e-07	1.85032e-07	6.75507e-05	4.97198e-05	2.11384e-03	2.91821e-13	7.26700e-03	8.23090e-04	2.25859e+03	2.25874e+03	4.60000e-07	2.03671e-10	1.57028e+00	7.70858e+00	1.30000e-07	5.75546e-11	1.16115e+00	1.04247e+01
1.00000e+03	4.43656e+00	3.29937e+00	1.46736e-02	6.90143e-03	4.84604e-04	7.38604e-03	1.47721e-02	5.68619e-04	3.25423e-04	2.67612e-06	1.13498e-04	7.52778e-04	1.76355e-04	9.96273e-07	2.27905e-07	8.33951e-05	6.14890e-05	2.61131e-03	3.61962e-13	9.00300e-03	1.01803e-03	2.25855e+03	2.25872e+03	4.60000e-07	2.03675e-10	1.57029e+00	7.72395e+00	1.20000e-07	5.31276e-11	1.14876e+00	1.05582e+01
9.99000e+02	4.43212e+00	3.29925e+00	1.46117e-02	6.88042e-03	4.83874e-04	7.36430e-03	1.47286e-02	6.78817e-04	3.87094e-04	3.18967e-06	1.35129e-04	8.98103e-04	2.09646e-04	1.18672e-06	2.70540e-07	9.92256e-05	7.32891e-05	3.10898e-03	4.32698e-13	1.07490e-02	1.21353e-03	2.25850e+03	2.25871e+03	4.70000e-07	2.08107e-10	1.58270e+00	7.67874e+00	1.20000e-07	5.31280e-11	1.14876e+00	1.05794e+01
9.98000e+02	4.42768e+00	3.29913e+00	1.45499e-02	6.85941e-03	4.83141e-04	7.34255e-03	1.46851e-02	7.89662e-04	4.48681e-04	3.70457e-06	1.56769e-04	1.04410e-03	2.42847e-04	1.37742e-06	3.12934e-07	1.15043e-04	8.51203e-05	3.60686e-03	5.04039e-13	1.25060e-02	1.40960e-03	2.25845e+03	2.25870e+03	4.60000e-07	2.03683e-10	1.57031e+00	7.75482e+00	1.30000e-07	5.75556e-11	1.16116e+00	1.04874e+01
9.97000e+02	4.42325e+00	3.29900e+00	1.44881e-02	6.83839e-03	4.82404e-04	7.32079e-03	1.46416e-02	9.01148e-04	5.10177e-04	4.22079e-06	1.78416e-04	1.19076e-03	2.75958e-04	1.56837e-06	3.55088e-07	1.30844e-04	9.69816e-05	4.10490e-03	5.75984e-13	1.42730e-02	1.60623e-03	2.25841e+03	2.25869e+03	4.70000e-07	2.08116e-10	1.58272e+00	7.70946e+00	1.20000e-07	5.31285e-11	1.14876e+00	1.06218e+01
9.96000e+02	4.41881e+00	3.29888e+00	1.44265e-02	6.81736e-03	4.81664e-04	7.29903e-03	1.45981e-02	1.01330e-03	5.71589e-04	4.73840e-06	2.00075e-04	1.33811e-03	3.08981e-04	1.75960e-06	3.97002e-07	1.46633e-04	1.08875e-04	4.60317e-03	6.48548e-13	1.60510e-02	1.80345e-03	2.25836e+03	2.25867e+03	4.80000e-07	2.12548e-10	1.59513e+00	7.66484e+00	1.20000e-07	5.31288e-11	1.14876e+00	1.06432e+01
9.95000e+02	4.41437e+00	3.29876e+00	1.43649e-02	6.79633e-03	4.80921e-04	7.27725e-03	1.45545e-02	1.12611e-03	6.32913e-04	5.25734e-06	2.21742e-04	1.48614e-03	3.41916e-04	1.95108e-06	4.38676e-07	1.62408e-04	1.20799e-04	5.10161e-03	7.21731e-13	1.78410e-02	2.00125e-03	2.25831e+03	2.25866e+03	4.70000e-07	2.08124e-10	1.58275e+00	7.74036e+00	1.30000e-07	5.75565e-11	1.16116e+00	1.05507e+01
9.94000e+02	4.40994e+00	3.29863e+00	1.43034e-02	6.77530e-03	4.80174e-04	7.25547e-03	1.45109e-02	1.23959e-03	6.94151e-04	5.77766e-06	2.43417e-04	1.63486e-03	3.74759e-04	2.14281e-06	4.80109e-07	1.78168e-04	1.32753e-04	5.60026e-03	7.95540e-13	1.96410e-02	2.19964e-03	2.25826e+03	2.25865e+03	4.80000e-07	2.12557e-10	1.59516e+00	7.69560e+00	1.20000e-07	5.31294e-11	1.14876e+00	1.06860e+01
9.93000e+02	4.40550e+00	3.29850e+00	1.42420e-02	6.75426e-03	4.79423e-04	7.23368e-03	1.44674e-02	1.35373e-03	7.55299e-04	6.29930e-06	2.65102e-04	1.78427e-03	4.07514e-04	2.33480e-06	5.21297e-07	1.93913e-04	1.44739e-04	6.09906e-03	8.69980e-13	2.14520e-02	2.39862e-03	2.25822e+03	2.25864e+03	4.70000e-07	2.08133e-10	1.58277e+00	7.77145e+00	1.20000e-07	5.31297e-11	1.14876e+00	1.07076e+01
