#Decompressing a basalt COHS closed system at 1473.15 degrees (K). 
#Approx total H2O (wt%) starting fO2: 1.000, final fO2: 0.964
#Approx total CO2 starting fO2: 1.000 (wt%) 10000.0 (ppm), final fO2: 9232.0 (ppm) 
#Approx total C (ppm) starting fO2: 2726.686734, final fO2: 2733.662514
#Total H (ppm): 1119.221189 wt%: 0.111922
#fTH2 = 0.025476
#
#         	          	          	          	              	              	 Gas:         	            	                	 Gas by mol:  	              	              	              	              	              	              	              	              	              	 Gas by mass: 	              	              	              	              	              	              	              	              	              	 Melt (wt%): 	            	            	            	            	            	            	            	            	            	 Ratios: 
P	NNO	fo2	F	rho_bulk	rho_melt	Exsol_vol%	Gas_wt	mol_mass	mH2O	mH2	mO2	mCO2	mCO	mCH4	mSO2	mH2S	mS2	mN2	wH2O	wH2	wO2	wCO2	wCO	wCH4	wSO2	wH2S	wS2	wN2	H2O_melt	H2_melt	CO2_melt	CO_melt	CH4_melt	graph_melt	S2-_melt	S6+_melt	Stot_melt	N_melt	mCO2/CO	mCO2/H2O	mCO2/SO2	mH2S/SO2	fH2	fH2O	fCO2	fCO	fCH4	fSO2	fH2S	fS2	fN2	tot_H	tot_C	tot_O_gas	tot_O	tot_S	tot_N
6057.0067 	 -0.000 	 4.228e-08 	 0.116 	 2765.350 	 2765.350 	 1.29e-06 	 1e-06 	 0.0434 	 0.0146825 	 6.19101e-05 	 2.42984e-12 	 0.964819 	 0.0185113 	 3.41354e-10 	 0.00176967 	 9.50596e-05 	 6.08858e-05 	 0.0 	 0.00609963 	 2.87873e-06 	 1.79297e-12 	 0.979162 	 0.0119567 	 1.26281e-10 	 0.00261437 	 7.47083e-05 	 9.00408e-05 	 0.0 	 1.0 	 2.37803e-05 	 1.0 	 0.00162893 	 1.19318e-11 	 0.0 	 0.044574 	 0.115426 	 0.16 	 0.0 	 52.1206 	 65.7122 	 545.196 	 0.0537159 	 0.75631275 	 118.708 	 25432.7 	 399.999 	 8.62354e-06 	 43.938892 	 3.2077693 	 1.0172029 	 0.0 	 1119.2212 	 2733.6653 	 16161.213 	 46539.207 	 1600.0 	 0.0 
6057.0 	 +0.000 	 4.228e-08 	 0.116 	 2675.602 	 2675.602 	 0.000002 	 1.95353e-06 	 0.043365 	 0.0146825 	 6.19102e-05 	 2.42984e-12 	 0.964819 	 0.0185113 	 3.41354e-10 	 0.00176967 	 9.50595e-05 	 6.08857e-05 	 0.0 	 0.00609963 	 2.87873e-06 	 1.79297e-12 	 0.979162 	 0.0119567 	 1.26281e-10 	 0.00261437 	 7.47083e-05 	 9.00406e-05 	 0.0 	 1.0 	 2.37803e-05 	 0.999999 	 0.00162893 	 1.19318e-11 	 0.0 	 0.0445739 	 0.115426 	 0.16 	 0.0 	 5.212064e+01 	 6.571209e+01 	 5.451966e+02 	 5.371593e-02 	 0.7563127 	 118.708 	 2.543266e+04 	 3.999986e+02 	 8.62352e-06 	 43.938822 	 3.2077635 	 1.0171994 	 0.0 	 1119.2212 	 2733.6653 	 16161.213 	 46539.207 	 1600.0 	 0 
6056.0 	 -0.000 	 4.228e-08 	 0.116 	 2675.592 	 2675.594 	 0.000430 	 0.000344434 	 0.043365 	 0.0146861 	 6.19324e-05 	 2.43018e-12 	 0.964815 	 0.0185116 	 3.41459e-10 	 0.00176985 	 9.50943e-05 	 6.08885e-05 	 0.0 	 0.00610113 	 2.87977e-06 	 1.79323e-12 	 0.97916 	 0.011957 	 1.2632e-10 	 0.00261464 	 7.47357e-05 	 9.0045e-05 	 0.0 	 0.999998 	 2.37828e-05 	 0.999658 	 0.00162869 	 1.19311e-11 	 0.0 	 0.0445716 	 0.115428 	 0.159999 	 0.0 	 5.211942e+01 	 6.569580e+01 	 5.451392e+02 	 5.373013e-02 	 0.75637522 	 118.707 	 2.542249e+04 	 3.998733e+02 	 8.62299e-06 	 43.925151 	 3.2075848 	 1.016918 	 0.0 	 1119.2212 	 2733.6653 	 16161.195 	 46539.207 	 1600.0 	 0 
6055.0 	 -0.000 	 4.227e-08 	 0.116 	 2675.582 	 2675.587 	 0.000856 	 0.000685516 	 0.043365 	 0.0146897 	 6.19546e-05 	 2.43052e-12 	 0.96481 	 0.018512 	 3.41564e-10 	 0.00177003 	 9.51289e-05 	 6.08913e-05 	 0.0 	 0.00610263 	 2.88081e-06 	 1.79348e-12 	 0.979158 	 0.0119573 	 1.2636e-10 	 0.00261491 	 7.47631e-05 	 9.00494e-05 	 0.0 	 0.999996 	 2.37853e-05 	 0.999318 	 0.00162845 	 1.19303e-11 	 0.0 	 0.0445693 	 0.11543 	 0.159999 	 0.0 	 5.211818e+01 	 6.567954e+01 	 5.450828e+02 	 5.374435e-02 	 0.75643781 	 118.707 	 2.541237e+04 	 3.997486e+02 	 8.62248e-06 	 43.911482 	 3.2074068 	 1.0166368 	 0.0 	 1119.2212 	 2733.6653 	 16161.177 	 46539.207 	 1600.0 	 0 
6054.0 	 -0.000 	 4.226e-08 	 0.116 	 2675.573 	 2675.579 	 0.001281 	 0.00102651 	 0.043365 	 0.0146932 	 6.19768e-05 	 2.43085e-12 	 0.964806 	 0.0185123 	 3.4167e-10 	 0.0017702 	 9.51635e-05 	 6.08941e-05 	 0.0 	 0.00610413 	 2.88185e-06 	 1.79373e-12 	 0.979155 	 0.0119575 	 1.26399e-10 	 0.00261517 	 7.47905e-05 	 9.00537e-05 	 0.0 	 0.999994 	 2.37878e-05 	 0.998978 	 0.00162821 	 1.19296e-11 	 0.0 	 0.044567 	 0.115432 	 0.159998 	 0.0 	 5.211694e+01 	 6.566329e+01 	 5.450263e+02 	 5.375856e-02 	 0.75650042 	 118.706 	 2.540225e+04 	 3.996239e+02 	 8.62196e-06 	 43.897817 	 3.2072288 	 1.0163557 	 0.0 	 1119.2212 	 2733.6653 	 16161.159 	 46539.207 	 1600.0 	 0 
6053.0 	 -0.000 	 4.226e-08 	 0.116 	 2675.563 	 2675.572 	 0.001707 	 0.00136742 	 0.043364 	 0.0146968 	 6.1999e-05 	 2.43119e-12 	 0.964802 	 0.0185127 	 3.41775e-10 	 0.00177038 	 9.51981e-05 	 6.08969e-05 	 0.0 	 0.00610563 	 2.88289e-06 	 1.79398e-12 	 0.979153 	 0.0119578 	 1.26438e-10 	 0.00261544 	 7.48178e-05 	 9.00581e-05 	 0.0 	 0.999991 	 2.37903e-05 	 0.998638 	 0.00162796 	 1.19289e-11 	 0.0 	 0.0445647 	 0.115433 	 0.159998 	 0.0 	 5.211570e+01 	 6.564704e+01 	 5.449699e+02 	 5.377279e-02 	 0.75656303 	 118.706 	 2.539213e+04 	 3.994993e+02 	 8.62144e-06 	 43.884156 	 3.2070508 	 1.0160747 	 0.0 	 1119.2212 	 2733.6653 	 16161.141 	 46539.207 	 1600.0 	 0 
6052.0 	 -0.000 	 4.225e-08 	 0.116 	 2675.553 	 2675.564 	 0.002133 	 0.00170823 	 0.043364 	 0.0147004 	 6.20212e-05 	 2.43153e-12 	 0.964798 	 0.0185131 	 3.41881e-10 	 0.00177055 	 9.52327e-05 	 6.08997e-05 	 0.0 	 0.00610712 	 2.88393e-06 	 1.79424e-12 	 0.979151 	 0.011958 	 1.26478e-10 	 0.0026157 	 7.48452e-05 	 9.00625e-05 	 0.0 	 0.999989 	 2.37929e-05 	 0.998298 	 0.00162772 	 1.19282e-11 	 0.0 	 0.0445624 	 0.115435 	 0.159997 	 0.0 	 5.211446e+01 	 6.563079e+01 	 5.449134e+02 	 5.378702e-02 	 0.75662566 	 118.706 	 2.538201e+04 	 3.993747e+02 	 8.62093e-06 	 43.870499 	 3.2068729 	 1.0157938 	 0.0 	 1119.2212 	 2733.6653 	 16161.124 	 46539.207 	 1600.0 	 0 
6051.0 	 -0.000 	 4.224e-08 	 0.116 	 2675.544 	 2675.557 	 0.002559 	 0.00204897 	 0.043364 	 0.014704 	 6.20435e-05 	 2.43186e-12 	 0.964794 	 0.0185134 	 3.41986e-10 	 0.00177073 	 9.52674e-05 	 6.09026e-05 	 0.0 	 0.00610862 	 2.88497e-06 	 1.79449e-12 	 0.979149 	 0.0119583 	 1.26517e-10 	 0.00261597 	 7.48726e-05 	 9.00668e-05 	 0.0 	 0.999987 	 2.37954e-05 	 0.997959 	 0.00162748 	 1.19275e-11 	 0.0 	 0.0445601 	 0.115437 	 0.159997 	 0.0 	 5.211322e+01 	 6.561455e+01 	 5.448569e+02 	 5.380125e-02 	 0.75668829 	 118.705 	 2.537190e+04 	 3.992502e+02 	 8.62041e-06 	 43.856845 	 3.2066951 	 1.015513 	 0.0 	 1119.2212 	 2733.6653 	 16161.106 	 46539.207 	 1600.0 	 0 
6050.0 	 -0.000 	 4.223e-08 	 0.116 	 2675.534 	 2675.550 	 0.002985 	 0.00238961 	 0.043364 	 0.0147075 	 6.20657e-05 	 2.4322e-12 	 0.96479 	 0.0185138 	 3.42092e-10 	 0.0017709 	 9.53021e-05 	 6.09054e-05 	 0.0 	 0.00611012 	 2.88601e-06 	 1.79474e-12 	 0.979147 	 0.0119586 	 1.26556e-10 	 0.00261624 	 7.49001e-05 	 9.00712e-05 	 0.0 	 0.999985 	 2.37979e-05 	 0.997619 	 0.00162724 	 1.19268e-11 	 0.0 	 0.0445578 	 0.115439 	 0.159996 	 0.0 	 5.211197e+01 	 6.559830e+01 	 5.448005e+02 	 5.381549e-02 	 0.75675094 	 118.705 	 2.536179e+04 	 3.991256e+02 	 8.6199e-06 	 43.843196 	 3.2065173 	 1.0152323 	 0.0 	 1119.2212 	 2733.6653 	 16161.088 	 46539.207 	 1600.0 	 0 
6049.0 	 -0.000 	 4.223e-08 	 0.116 	 2675.524 	 2675.542 	 0.003411 	 0.00273016 	 0.043364 	 0.0147111 	 6.2088e-05 	 2.43254e-12 	 0.964785 	 0.0185141 	 3.42197e-10 	 0.00177108 	 9.53368e-05 	 6.09082e-05 	 0.0 	 0.00611162 	 2.88705e-06 	 1.795e-12 	 0.979145 	 0.0119588 	 1.26596e-10 	 0.0026165 	 7.49275e-05 	 9.00756e-05 	 0.0 	 0.999983 	 2.38004e-05 	 0.99728 	 0.001627 	 1.19261e-11 	 0.0 	 0.0445555 	 0.115441 	 0.159996 	 0.0 	 5.211073e+01 	 6.558206e+01 	 5.447440e+02 	 5.382973e-02 	 0.75681359 	 118.704 	 2.535169e+04 	 3.990011e+02 	 8.61938e-06 	 43.82955 	 3.2063395 	 1.0149517 	 0.0 	 1119.2212 	 2733.6653 	 16161.07 	 46539.207 	 1600.0 	 0 
