MinDepth(km)	Depth(km)	MaxDepth(km)	MinΔV(m3)	ΔV(m3)	MaxΔV(m3)	MinSO2	SO2(kg)	MaxSO2	MinVe(m3)	Ve(m3)	MaxVe(m3)	MinVn	Vn(ΔV/Ve)	MaxVn	MinSO2yield	SO2yield(kg/m3)	MaxSO2yield	Magma_comp
6.6	6.6	6.6	nan	nan	nan	4.35E+08	4.35E+08	4.35E+08	3.00E+07	5.40E+07	7.80E+07	nan	nan	nan	5.58	8.06	14.50	1
4.0	4.5	5	1.30E+07	1.40E+07	1.50E+07	4.70E+08	4.70E+08	4.70E+08	1.30E+08	1.80E+08	2.30E+08	0.06	0.08	0.12	2.04	2.61	3.62	1
5.0	5.0	5.0	6.20E+06	6.30E+06	6.40E+06	8.00E+07	8.00E+07	8.00E+07	1.40E+07	1.40E+07	1.40E+07	0.44	0.45	0.46	5.71	5.71	5.71	1
1.6	1.6	1.6	1.60E+07	1.60E+07	1.60E+07	nan	nan	nan	1.00E+06	5.05E+07	1.00E+08	0.16	0.32	16.00	nan	nan	nan	1
1.5	1.7	1.9	2.40E+07	2.70E+07	3.00E+07	3.80E+08	3.80E+08	3.80E+08	2.00E+08	2.70E+08	3.40E+08	0.07	0.10	0.15	3.4	5.4	7.4	1
4.7	4.7	4.7	nan	nan	nan	2.20E+08	2.20E+08	2.20E+08	1.90E+08	1.90E+08	1.90E+08	nan	nan	nan	1.16	1.16	1.16	1
0.5	0.75	1	7.20E+06	7.20E+06	7.20E+06	3.00E+08	3.00E+08	3.00E+08	8.00E+07	8.00E+07	8.00E+07	0.09	0.09	0.09	3.75	3.75	3.75	1
2.0	2	2	8.00E+07	8.00E+07	8.00E+07	1.93E+09	1.93E+09	1.93E+09	1.50E+08	1.50E+08	1.50E+08	0.53	0.53	0.53	12.85	12.85	12.85	1
6.1	7.6	8.8	4.30E+07	5.35E+07	6.40E+07	2.00E+08	2.00E+08	2.00E+08	1.16E+08	1.16E+08	1.16E+08	0.37	0.46	0.55	1.72	1.72	1.72	1
5.0	5.0	5.0	nan	nan	nan	4.00E+09	4.00E+09	4.00E+09	1.00E+08	5.05E+09	1.00E+10	nan	nan	nan	0.40	0.79	40.00	1
8.0	8.0	8.0	nan	nan	nan	4.00E+08	4.00E+08	4.00E+08	1.00E+06	5.05E+07	1.00E+08	nan	nan	nan	4.00	7.92	400.00	1
3.6	3.6	3.6	4.20E+07	4.70E+07	5.20E+07	nan	nan	nan	1.50E+08	1.50E+08	1.50E+08	0.28	0.31	0.35	nan	nan	nan	1
3.5	3.5	3.5	1.30E+08	1.40E+08	1.50E+08	3.00E+08	3.00E+08	3.00E+08	2.60E+08	2.60E+08	2.60E+08	0.50	0.54	0.58	1.15	1.15	1.15	1
4.0	4.0	4.0	nan	nan	nan	2.20E+07	2.20E+07	2.20E+07	1.00E+06	5.05E+07	1.00E+08	nan	nan	nan	0.22	0.44	22.00	1
6.9	7	7.1	nan	nan	nan	5.00E+06	5.00E+06	5.00E+06	3.70E+06	4.70E+06	5.70E+06	nan	nan	nan	0.88	1.06	1.35	1
5.4	7.2	9	2.50E+07	2.50E+07	2.50E+07	nan	nan	nan	3.00E+07	4.50E+07	6.00E+07	0.42	0.56	0.83	nan	nan	nan	1
